date,result ranking,general classification,race name,distance,PCS point,UCI point,year
24.04,26,,Melaka Chief Minister Cup (1.2) ,156,,,2011
16.04 » 19.04,,,Le Tour de Filipinas (2.2) ,,,,2011
17.04,DNF,,Stage 2 - Balanga › Iba ,153.6,,,2011
16.04,62,,Stage 1 - Manila › Pasay ,89.6,,,2011
24.02 » 28.02,,,Kerman Tour (2.2) ,,,,2011
,41,,General classification ,,,,2011
28.02,47,,Stage 5 - Rayen › Jiroft ,147,,,2011
27.02,44,,Stage 4 - Jiroft › Jiroft ,73,,,2011
26.02,36,,Stage 3 - Boluk › Jiroft ,105,,,2011
25.02,29,,Stage 2 - Darzin › Jiroft ,97,,,2011
24.02,55,,Stage 1 - Kahnuj › Jiroft ,91,,,2011
11.05 » 15.05,,,International Presidency Tour (2.2) ,,,,2010
,42,,General classification ,,,,2010
13.05,65,,Stage 3 - Karaj › Karaj ,70,,,2010
12.05,69,,Stage 2 - Tehran ›  ,130,,,2010
11.05,48,,Prologue - Lavizan › Lavizan ,8,,,2010
03.05 » 08.05,,,International Azerbaïjan Tour (2.2) ,,,,2010
,22,,General classification ,,,,2010
08.05,11,,Stage 6 - Kaleybar › Tabriz ,164.5,,,2010
07.05,10,,Stage 5 - Jolfa › Kaleybar ,145,,,2010
06.05,50,,Stage 4 - Naxçivan › Naxçivan ,79,,,2010
05.05,61,,Stage 3 - Tabriz › Jolfa ,129.6,,,2010
04.05,32,,Stage 2 - Urmia › Shabestar ,175.4,,,2010
03.05,58,,Stage 1 - Tabriz › Urmia ,136,,,2010
28.05 » 31.05,,,Tour De Kumano (2.2) ,,,,2009
29.05,DNF,,Stage 2 - Akagi River › Akagi River ,130.4,,,2009
28.05,89,,Prologue - Shingu › Shingu ,0.75,,,2009
01.09 » 06.09,,,Tour of Thailand (2.2) ,,,,2008
,25,,General classification ,,,,2008
06.09,35,,Stage 6 - Lampang › Lampang ,148,,,2008
05.09,29,,Stage 5 - Pha Yao › Lampang ,160,,,2008
04.09,26,,Stage 4 - Pha Yao › Pha Yao ,181,,,2008
03.09,38,,Stage 3 - Chiang Rai › Terng ,200,,,2008
02.09,31,,Stage 2 - Doi Luang › Chiang Rai ,174.1,,,2008
01.09,17,,Stage 1 - Chiang Rai › Chiang Rai ,80,,,2008
11.07 » 20.07,,,Tour of Qinghai Lake (2.HC) ,,,,2008
,41,,General classification ,,,,2008
20.07,69,,Stage 10 - XN Circuit Race ›  ,110,,,2008
19.07,21,,Stage 9 - Menyuan › Huzhu ,168,,,2008
,19,, ,151,,,2008
17.07,108,,Stage 7 - Xining › Xining ,214,,,2008
16.07,45,,Stage 6 - Guide › Xining ,115,,,2008
15.07,64,,Stage 5 - Xihaizhen › Guide County ,172,,,2008
14.07,106,,Stage 4 - Bird Island › Xihaizhen ,152,,,2008
13.07,102,,Stage 3 - Qinghai Lake Hotel › Bird Island ,120,,,2008
12.07,67,,Stage 2 - Xining › Qinghai Lake Hotel ,145,,,2008
11.07,100,,Prologue - Xining ›  ,4,,,2008
21.05 » 29.05,,,Azerbaïjan Tour (2.2) ,,,,2008
24.05,3,,Stage 3 - Sarab › Tabriz ,120,1,,2008
