date,result ranking,general classification,race name,distance,PCS point,UCI point,year
09.07 » 17.07,,,Tour Cycliste International de Martinique (2.2) ,,,,2011
,31,,General classification ,,,,2011
17.07,31,,Stage 11 - Rivière-Pilote › Le Lamentin ,135,,,2011
16.07,30,,Stage 10 (ITT) - Rivière-Pilote › Rivière-Pilote ,15,,,2011
16.07,34,,Stage 9 - Saint-Esprit › Rivière-Pilote ,99,,,2011
15.07,22,,Stage 8 - Les Trois-Îlets › Saint-Esprit ,128,,,2011
14.07,41,,Stage 7 - Sainte Marie › Trois Ilets ,105.5,,,2011
13.07,37,,Stage 6 - Macouba › Sainte-Marie ,105,,,2011
12.07,31,,Stage 5 - La Trinité › Macouba ,90,,,2011
11.07,26,,Stage 4 - Fort-de-France › La Trinité ,106,,,2011
10.07,52,,Stage 3 - Sainte-Luce › Fort-de-France ,96,,,2011
10.07,44,,Stage 2 - Sainte-Anne › Sainte-Luce ,92,,,2011
09.07,27,,Stage 1 - Le Vauclin › Sainte-Anne ,122,,,2011
09.07 » 17.07,,,Tour Cycliste International de Martinique (2.2) ,,,,2011
,31,,General classification ,,,,2011
17.07,31,,Stage 11 - Rivière-Pilote › Le Lamentin ,135.0,,,2011
16.07,30,,Stage 10 (ITT) - Rivière-Pilote › Rivière-Pilote ,15.0,,,2011
16.07,34,,Stage 9 - Saint-Esprit › Rivière-Pilote ,99.0,,,2011
15.07,22,,Stage 8 - Les Trois-Îlets › Saint-Esprit ,128.0,,,2011
14.07,41,,Stage 7 - Sainte Marie › Trois Ilets ,105.5,,,2011
13.07,37,,Stage 6 - Macouba › Sainte-Marie ,105.0,,,2011
12.07,31,,Stage 5 - La Trinité › Macouba ,90.0,,,2011
11.07,26,,Stage 4 - Fort-de-France › La Trinité ,106.0,,,2011
10.07,52,,Stage 3 - Sainte-Luce › Fort-de-France ,96.0,,,2011
10.07,44,,Stage 2 - Sainte-Anne › Sainte-Luce ,92.0,,,2011
09.07,27,,Stage 1 - Le Vauclin › Sainte-Anne ,122.0,,,2011
06.08 » 15.08,,,Tour Cycliste International de la Guadeloupe (2.2) ,,,,2010
10.08,119,,Stage 5 - Le Moule › Vieux-Habitants ,134.3,,,2010
09.08,116,,Stage 4 - Baie-Mahault › Le Moule ,166.7,,,2010
08.08,89,,Stage 3 - Deshaies › Baie-Mahault ,99.0,,,2010
07.08,60,,Stage 2 - Pointe-à-Pitre › Deshaies ,162.6,,,2010
06.08,82,,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,4.0,,,2010
10.07 » 18.07,,,Tour Cycliste International de Martinique (2.2) ,,,,2010
12.07,69,,Stage 4 - Fort de France › Trinité ,120.0,,,2010
11.07,48,,Stage 3 (ITT) - Fort de France › Fort de France ,7.2,,,2010
11.07,59,,Stage 2 - Marin › Fort de France ,102.0,,,2010
10.07,36,,Stage 1 - Sainte-Luce › Marin ,128.0,,,2010
01.08 » 10.08,,,Tour de la Guadeloupe (2.2) ,,,,2008
,28,,Mountains classification ,,,,2008
,43,,Points classification ,,,,2008
,34,,General classification ,,,,2008
10.08,41,,Stage 9 - Saint-François › Pointe-à-Pitre ,123.3,,,2008
09.08,9,,Stage 8a - Baie-Mahault › Baie-Mahault ,98.5,,,2008
09.08,28,,Stage 8b (ITT) - Baie-Mahault › Baie-Mahault ,15.0,,,2008
08.08,65,,Stage 7 - Bouillante › Moule ,157.1,,,2008
07.08,54,,Stage 6 - Sainte-Rose › Bouillante ,141.5,,,2008
06.08,28,,Stage 5 - Baillif › Sainte-Rose ,120.3,,,2008
05.08,54,,Stage 4 - Lamentin › Baillif ,121.0,,,2008
04.08,55,,Stage 3 - Morne-à-l'Eau › Lamentin ,166.3,,,2008
03.08,81,,Stage 2a - Les Abymes › Les Abymes ,100.0,,,2008
02.08,86,,Stage 1 - Baie-Mahault › Capesterre Belle Eau ,171.35,,,2008
01.08,27,,Prologue - Pointe-à-Pitre › Pointe-à-Pitre ,4.0,,,2008
05.07 » 13.07,,,Tour Cycliste International de Martinique (2.2) ,,,,2008
,14,,Mountains classification ,,,,2008
,16,,Points classification ,,,,2008
,32,,General classification ,,,,2008
13.07,39,,Stage 9 - Riviere-Pilote › Lamentin ,116.5,,,2008
12.07,8,,Stage 8a - Saint-Esprit › Riviere-Pilote ,98.3,,,2008
12.07,27,,Stage 8b (ITT) - Riviere-Pilote › Riviere-Pilote ,15.0,,,2008
11.07,2,,Stage 7 - Sainte-Marie › Saint-Esprit ,107.0,2,,2008
10.07,34,,Stage 6 - Trinite › Sainte-Marie ,110.5,,,2008
09.07,35,,Stage 5 - Macouba › Trinite ,127.7,,,2008
08.07,41,,Stage 4 - Robert › Macouba ,98.2,,,2008
07.07,22,,Stage 3 - Fort-de-France › Robert ,136.0,,,2008
06.07,70,,Stage 2a - Schoelcher › Fort-de-France ,91.0,,,2008
06.07,22,,Stage 2b (ITT) - Fort-de-France › Fort-de-France ,7.5,,,2008
05.07,81,,Stage 1 - Riviere-Salee › Schoelcher ,122.6,,,2008
10.07 » 18.07,,,Tour de la Martinique (2.6) ,,,,2004
13.07,DNF,,Stage 3 - La Trinité › Macouba ,92.6,,,2004
12.07,44,30,Stage 2 - François › La Trinité ,97.0,,,2004
11.07,25,23,Stage 1 - Fort de France › François ,119.0,,,2004
10.07,23,23,Prologue - Fort de France › Fort de France ,,,,2004
