date,result ranking,general classification,race name,distance,PCS point,UCI point
13.09,77,,Velothon Stockholm (1.1),182.1,,
04.08 » 08.08,,,Post Danmark Rundt - Tour of Denmark (2.HC),,,
,22,,Mountains classification,,,
,115,,General classification,,,
08.08,36,,Stage 6 - Hillerød › Frederiksberg,155,,
07.08,131,123,Stage 5 (ITT) - Helsingør › Helsingør,13.6,,
07.08,117,120,Stage 4 - Slagelse › Frederiksværk,115,,
06.08,113,122,Stage 3 - Vejle › Vejle,185,,
05.08,118,127,Stage 2 - Ringkøbing › Aarhus,235,,
04.08,135,135,Stage 1 - Struer › Holstebro,177.9,,
28.06,20,,National Championships Denmark - Road Race (NC),209,,
25.06,34,,National Championships Denmark - ITT (NC),39,,
13.06,DNF,,GP Horsens (1.2),194.1,,
13.05 » 17.05,,,Flèche du Sud (2.2),,,
,20,,Mountains classification,,,
,27,,Points classification,,,
,86,,General classification,,,
17.05,7,,Stage 5 - Bascharage › Esch/Alzette,160,,
16.05,91,93,Stage 4 - Mondorf › Redange sur Attert,152.7,,
15.05,87,100,Stage 3 - Echternach › Clervaux,143.7,,
14.05,33,110,Stage 2 - Rumelange › Roeser,165.7,,
13.05,120,120,Stage 1 - Bourscheid › Bourscheid,73.9,,
01.05,67,,GP Viborg (1.2),196.5,,
15.04 » 19.04,,,Tour du Loir et Cher E Provost (2.2),,,
,40,,Points classification,,,
,39,,General classification,,,
19.04,53,,Stage 5 - Blois › Blois,97.5,,
18.04,76,43,Stage 4 - Angé › Angé,171,,
17.04,61,29,Stage 3 - Freteval › Vendôme,209,,
16.04,28,25,Stage 2 - Huisseau/Cosson › Fougères/Bièvre,196,,
15.04,14,14,Stage 1 - Blois › Nouan-le-Fuzelier,175,,
15.03,45,,Energiewacht Dwars door Drenthe (1.1),196.8,,
14.03,DNF,,Albert Achterhes Pet Ronde van Drenthe (1.1),197.9,,
06.08 » 10.08,,,Post Danmark Rundt - Tour of Denmark (2.HC),,,
,4,,Mountains classification,,,
,43,,Points classification,,,
,44,,General classification,,,
10.08,47,,Stage 6 - Kalundborg › Frederiksberg,175,,
09.08,87,45,Stage 5 (ITT) - Middelfart › Middelfart,15,,
09.08,52,43,Stage 4 - Nyborg › Odense,100,,
08.08,42,45,Stage 3 - Skanderborg › Vejle,175,,
07.08,47,62,Stage 2 - Skive › Aarhus,195,,
06.08,69,69,Stage 1 - Hobro › Mariager,157,,
29.06,DNF,,National Championships Denmark - Road Race (NC),195,,
11.05,42,,Ringerike GP (1.2),173.9,,
10.05,18,,Hadeland GP (1.2),173.3,,
04.05,10,,Destination Thy (1.2),180,,
04.05,52,,Destination Thy (1.2),180,,
03.05,44,,Himmerland Rundt \'Made in Aars\' (1.2),189.5,,
02.05,5,,Skive-Løbet (1.2),190,2,10
31.07 » 04.08,,,Post Danmark Rundt - Tour of Denmark (2.HC),,,
,12,,Mountains classification,,,
,54,,Points classification,,,
,106,,General classification,,,
04.08,74,,Stage 6 - Roskilde › Frederiksberg,165,,
03.08,116,107,Stage 5 (ITT) - Holbæk › Holbæk,12.1,,
03.08,83,108,Stage 4 - Høng › Asnæs,105,,
02.08,99,111,Stage 3 - Sønderborg › Vejle,200,,
01.08,104,111,Stage 2 - Ribe › Sønderborg,180,,
31.07,113,117,Stage 1 - Silkeborg › Varde,181.5,,
23.06,15,,National Championships Denmark - Road Race (NC),199,,
09.06,9,,Jurmala Grand Prix (1.1),179,16,7
08.06,93,,Riga - Jurmala Grand Prix (1.1),168,,
28.04,47,,Destination Thy (1.2),180,,
27.04,9,,Himmerland Rundt (1.2),194.3,,
20.04,3,,Grand Prix Herning (1.2),199,7,16
30.03 » 31.03,,,Boucle de l'Artois  - Trophée Arras Leader (2.2),,,
,12,,Points classification,,,
,25,,General classification,,,
31.03,32,,Stage 3 - Parc d'Olhain › Mont Saint Eloi,132.5,,
31.03,68,33,Stage 2 (ITT) - Croisilles › Arras,23.5,,
30.03,4,4,Stage 1 - Saint Pol › Fruges,178,,
17.03,21,,Grand Prix de la Ville de Nogent-sur-Oise (1.2),166,,
10.03,DNF,,Paris-Troyes (1.2),174.2,,
24.06,34,,National Championships Denmark - Road Race (NC),200,,
