date,result ranking,general classification,race name,distance,PCS point,UCI point
28.06,108,,National Championships Spain - Road Race (NC),189.5,,
28.04 » 02.05,,,Vuelta Asturias Julio Alvarez Mendo (2.1),,,
02.05,DNF,,Stage 6 - Tartiere Auto › Alto del Naranco,176,,
01.05,88,,Stage 5 - Cafes Toscafa › Oviedo,181,,
30.04,81,,Stage 4 - Luarca › Santuario del Acebo,195,,
29.04,102,,Stage 3 (ITT) - Piedras Blancas › Piedras Blancas,14,,
29.04,87,,Stage 2 - Gijon › Aviles,83,,
28.04,108,,Stage 1 - Oviedo › Gijon,162,,
03.08 » 07.08,,,Vuelta Ciclista a León (2.2),,,
,36,,General classification,,,
07.08,36,,Stage 5 - Camponaraya › Ponferrada,,,
06.08,49,,Stage 4 - Sena de Luna › La Magdalena,149.5,,
05.08,60,,Stage 3 - Cuadros › Cueva de Valdeporquero,170.5,,
04.08,102,,Stage 2 - La Bañeza › Santovenia,143.8,,
03.08,59,,Stage 1 - La Virgen del Camino › Cembranos,137.3,,
01.08,50,,Circuito de Getxo 'Memorial Ricardo Otxoa' (1.1),185.3,,
17.07 » 18.07,,,Vuelta A La Comunidad De Madrid (2.1),,,
,77,,General classification,,,
18.07,58,,Stage 3 - Alcobendas › Puerto de Morcuera,132,,
17.07,72,,Stage 2 - Coslada › Coslada,84.8,,
17.07,84,,Stage 1 (ITT) - Madrid › Madrid,7.8,,
08.06 » 15.06,,,Circuito Montañés (2.2),,,
,31,,General classification,,,
,59,,General classification,,,
15.06,75,,Stage 8 - Potes › Santander,152,,
14.06,55,,Stage 7 - Torrelavega › Santo Toribio,143.6,,
13.06,58,,Stage 6 - Polanco › Torrelavega,173.3,,
12.06,42,,Stage 5 - Ague de Solares › Fuente del Chivo,163.6,,
11.06,92,,Stage 4 - Miengo › El Astillero,178.1,,
10.06,113,,Stage 3 - Santoña  › Ramales de la Victoria,175.5,,
09.06,111,,Stage 2 - Santander › Maliaño ,172,,
08.06,51,,Prologue - Santander › Santander,5.8,,
27.04,DNF,,Subida al Naranco (1.1),149,,
21.03,DNF,,La Roue Tourangelle Région Centre - Classic Loire Touraine Vignobles & Chateaux (1.2),186,,
21.02 » 25.02,,,Vuelta a Andalucia Ruta ciclista del Sol (2.1),,,
,38,,General classification,,,
25.02,46,,Stage 5 - Torrox Costa › Antequera,161.4,,
24.02,69,,Stage 4 (ITT) - Málaga › Málaga,10.9,,
23.02,44,,Stage 3 - Marbella › Benahaves,162.5,,
22.02,78,,Stage 2 - Otura › Cordoba,182.2,,
21.02,34,,Stage 1 - Jaen › Alto de las Allanadas,159.2,,
10.06 » 16.06,,,Circuito Montanes (2.2),,,
,19,,General classification,,,
16.06,53,,Stage 7 - Potes › Santander,152,,
15.06,20,,Stage 6 - Torrelavega › Santo Toribio,143.6,,
14.06,37,,Stage 5 - Polanco › Torrelavega,173.3,,
13.06,16,,Stage 4 - Ague de Solares › Fuente del Chivo,145.7,,
12.06,47,,Stage 3 - Miengo › El Astillero,178.1,,
11.06,43,,Stage 2 - Santonña › Ramales de la Victoria,175.5,,
10.06,65,,Stage 1 - Santander › Maliaño,172,,
27.03 » 29.03,,,Grand Prix Du Portugal (2.Ncup),,,
,53,,General classification,,,
29.03,67,,Stage 3 - Lousada › Alto Srta. Quitéria,136.1,,
28.03,21,,Stage 2 - Castelo de Paiva › Paços de Ferreira,113.6,,
27.03,26,,Stage 1 - Penafiel › Paredes,112.7,,
04.06 » 09.06,,,Volta Continental a Lleida (2.2),,,
,9,,General classification,,2,
09.06,24,,Stage 6 - El Pont de Suert › Lleida,140.7,,
08.06,27,9,Stage 5b - Les › El Pont de Suert,60,,
07.06,9,6,Stage 4 - La Seu d'Urgell › Vielha,127.3,,
06.06,30,19,Stage 3 - Tremp › La Seu d'Urgell,85,,
05.06,57,21,Stage 2 - Alcarras › Tremp,114.3,,
04.06,23,23,Stage 1 - Lleida › Alcarras,120.4,,
18.04 » 22.04,,,Cinturón Ciclista a Mallorca (2.2),,,
19.04,116,,Stage 2 - Pollença › Pollença,131.6,,
18.04,122,,Stage 1 - Maria de la Salut › Maria de la Salut,154.2,,
24.05 » 29.05,,,Vuelta Ciclista a Navarra (2.2),,,
24.05,DNF,,Stage 1 - Pamplona › Estella,143,,
