date,result ranking,general classification,race name,distance,PCS point,UCI point,year
02.09,25,,Tour du Finistère (1.5) ,188.4,,,2002
30.06,44,,National Championships Netherlands - Road Race (NC) ,213,,,2002
09.06,4,,Memorial Philippe Van Coningsloo (1.5) ,176,4,,2002
09.05,35,,Hasselt - Spa - Hasselt (1.5) ,175,,,2002
30.06,10,,National Championships Netherlands U23 - Road Race (NC) ,165.5,,,2001
06.05,57,,Circuit du Hainaut () ,180,,,2001
29.04,20,,Ronde van Vlaanderen U23 (1.2) ,172,,,2001
24.06,18,,National Championships Netherlands U23 - Road Race (NC) ,156.8,,,2000
01.05,45,,Liège-Bastogne-Liège U23 (1.7.1) ,,,,2000
22.03,8,,GP de Waregem (1.7.1) ,156,,,2000
19.03,23,,GP Rudy Dhaenens (1.4) ,186,,,2000
26.06,34,,National Championships Netherlands U23 - Road Race (NC) ,174,,,1999
22.05 » 27.05,,,Ronde de l'Isard (2.2U23) ,,,,1999
,20,,General classification ,,,,1999
26.05,9,28,Stage 4 - Vicdessos › Saint-Girons ,97.1,,,1999
22.05,60,60,Prologue - Mirepoix › Mirepoix ,2.7,,,1999
01.06,DNF,,GP de la Ville de Villers-Cotterêts (1.5) ,193.2,,,1998
