date,result ranking,general classification,race name,distance,PCS point,UCI point,year
28.07,35,,Olympic Games - ITT (Olympics),44.2,10,,2021
24.07,DNF,,Olympic Games Road Race (Olympics),234,,,2021
11.07,4,,Grand Prix Kayseri ME (1.2),136.7,4,20,2021
10.07,16,,Grand Prix Erciyes - Mimar Sinan ME (1.2),149.3,,,2021
04.07,65,,Kahramanmaraş Grand Prix Road Race ME (1.2),124.5,,,2021
03.07,11,,Germenica Grand Prix Road Race ME (1.2),153.8,,,2021
28.06,3,,National Championships Iran - ITT (NC),,2,10,2021
27.06,1,,National Championships Iran - Road Race (NC),,15,50,2021
01.04 » 04.04,,,Tour of Mevlana (2.2),,,,2021
,23,,General classification,,,,2021
04.04,89,,Stage 4 - Konya › Konya,139.3,,,2021
03.04,25,23,Stage 3 - Konya › Sille,113.6,,,2021
02.04,48,54,Stage 2 - Konya › Konya,136.1,,,2021
01.04,82,81,Stage 1 - Konya › Konya,133.5,,,2021
14.07 » 27.07,,,Tour of Qinghai Lake (2.HC),,,,2019
20.07,DNS,,Stage 7 (ITT) - Haiyan › Haiyan,42,,,2019
19.07,138,54,Stage 6 - Chaka › Bird Island,136,,,2019
18.07,89,10,Stage 5 - Gongha › Chaka,173,,,2019
17.07,9,9,Stage 4 - Guide › Longyangxia,100,,,2019
16.07,35,21,Stage 3 - Duoba › Guide,140,,,2019
15.07,111,35,Stage 2 - Xining › Xining,119,,,2019
14.07,6,30,Stage 1 (TTT) - Hehuang New District › Xining,40,,,2019
25.06,1,,National Championships Iran - ITT (NC),,15,50,2019
24.06,2,,National Championships Iran - Road Race (NC),170,10,75,2019
17.05 » 19.05,,,Yavuz Sultan Selim Tour of Black Sea (2.2),,,,2019
,3,,Mountains classification,,,,2019
,28,,General classification,,,,2019
19.05,45,,Stage 3 - Giresun › Çarşamba,170,,,2019
18.05,28,31,Stage 2 - Rize › Giresun,208,,,2019
17.05,64,64,Stage 1 - Rize › Rize,120,,,2019
28.04,11,,Asian Cycling Championships - Road Race (CC),166.6,12,40,2019
23.04,9,,Asian Cycling Championships - TTT (CC),40,,1.25,2019
30.09 » 05.10,,,Tour of Iran (Azarbaijan) (2.1),,,,2018
,1,,Mountains classification,,,,2018
,13,,General classification,,8,5,2018
05.10,33,,Stage 6 - Tabriz › Tabriz,91.2,,,2018
04.10,1,13,Stage 5 - Sarein › Tabriz,198.9,20,14,2018
03.10,5,18,Stage 4 - Tabriz › Sarein,196.2,4,,2018
02.10,8,25,Stage 3 - Arras Free Zone › Tabriz,147.8,1,,2018
01.10,32,31,Stage 2 - Urmia › Arras Free Zone,209.4,,,2018
30.09,31,31,Stage 1 - Tabriz › Urmia,150.1,,,2018
23.08,8,,Summer Asian Games - Road Race (JR),145.5,18,60,2018
30.06,5,,National Championships Iran - ITT (NC),30,,10,2018
29.06,1,,National Championships Iran - Road Race (NC),160,15,100,2018
18.06 » 21.06,,,Tour of Mevlana (2.2),,,,2018
,1,,Mountains classification,,,,2018
,27,,Points classification,,,,2018
,13,,General classification,,,,2018
21.06,30,,Stage 4 - Konya › Konya,110.3,,,2018
20.06,28,10,Stage 3 - Konya › Beyşehir,193.5,,,2018
19.06,26,10,Stage 2 - Konya › Konya,140.4,,,2018
18.06,10,10,Prologue - Konya › Konya,8,,,2018
03.05 » 06.05,,,Tour of Mesopotamia (2.2),,,,2018
,10,,Points classification,,,,2018
,6,,General classification,,6,10,2018
06.05,19,,Stage 4 - Diyarbakin › Sanliurfa,182,,,2018
05.05,9,6,Stage 3 - Mardin › Diyarbakin,155,,,2018
04.05,8,6,Stage 2 - Mardin › Mardin,104,,,2018
03.05,9,9,Stage 1 - Sanliurfa › Mardin,188,,,2018
18.11 » 26.11,,,Tour de Singkarak (2.2),,,,2017
,20,,Mountains classification,,,,2017
,22,,Points classification,,,,2017
,11,,General classification,,,,2017
26.11,37,,Stage 9 - Pasaman › Bukittinggi,117.2,,,2017
25.11,7,11,Stage 8 - Padang Pariaman › Agam,135.2,,,2017
24.11,21,11,Stage 7 - Limapulah Kota › Padang Pajang,112,,,2017
23.11,4,11,Stage 6 - Kota Pariaman › Pasaman Barat,145.7,,,2017
22.11,16,14,Stage 5 - Kota Solok › Solok Selatan,101,,,2017
21.11,39,20,Stage 4 - Danau Singkarak › Payakumbuh,106.4,,,2017
20.11,48,20,Stage 3 - Muaro Sijunjuang › Pulau Punjuang,161.3,,,2017
19.11,21,22,"Stage 2 - Panianan, Pesisir Selatan › Sawahlunto",155.9,,,2017
18.11,50,50,"Stage 1 - Batusangkar, Tanah Datar › Padang",109.3,,,2017
08.10 » 13.10,,,Tour of Iran (Azarbaijan) (2.1),,,,2017
,18,,Mountains classification,,,,2017
,8,,General classification,,18,30,2017
13.10,41,,Stage 6 - Tabriz › Tabriz,114,,,2017
12.10,36,8,Stage 5 - Sarein › Tabriz,191.7,,,2017
11.10,8,6,Stage 4 - Tabriz › Sarein,196.2,1,,2017
10.10,1,10,Stage 3 - Aras Free Zone › Tabriz,155.1,20,14,2017
09.10,22,15,Stage 2 - Urmia › Aras Free Zone,209.4,,,2017
08.10,41,42,Stage 1 - Tabriz › Urmia,144.1,,,2017
30.09 » 01.10,,,Tour of Almaty (2.1),,,,2017
,27,,General classification,,,,2017
01.10,26,,Stage 2 - Almaty › Almaty,160.5,,,2017
30.09,70,69,Stage 1 - Almaty › Almaty,171.2,,,2017
01.06 » 04.06,,,Tour de Kumano (2.2),,,,2017
04.06,DNF,,Stage 3 - Taiji Hanto › Taiji Hanto,100,,,2017
03.06,21,23,Stage 2 - Kumano › Kumano,109.3,,,2017
02.06,72,85,Stage 1 - Akagigawa › Akagigawa,114.1,,,2017
01.06,104,104,Prologue - Shingu › Shingu,0.7,,,2017
