date,result ranking,general classification,race name,distance,PCS point,UCI point,year
18.01 » 22.01,,,Jacob's Creek Tour Down Under (2.HC) ,,,,2006
18.01,DNF,,Stage 1 - Mawson Lakes › Angaston ,148,,,2006
14.01,DNF,,National Championships Australia U23 - Road Race (NC) ,175.5,,,2006
18.01 » 22.01,,,Jacob's Creek Tour Down Under (2.HC) ,,,,2006
18.01,DNF,,Stage 1 - Mawson Lakes › Angaston ,148.0,,,2006
14.01,DNF,,National Championships Australia U23 - Road Race (NC) ,175.5,,,2006
29.05,68,,Paris - Roubaix Espoirs (1.2U) ,180.5,,,2005
19.05 » 23.05,,,Ronde de l'Isard (2.2) ,,,,2005
,21,,Youth classification ,,,,2005
,41,,General classification ,,,,2005
23.05,46,,Stage 5 - La Bastide de Serou › Saint-Girons ,142.0,,,2005
22.05,40,52,Stage 4 - Laroques d'Olmes › Lezat/Leze ,101.7,,,2005
21.05,67,57,Stage 3 - Vicdessos Auzat › Lavelanet ,82.8,,,2005
20.05,60,57,Stage 2 - Saverdun › Goulier Neige ,148.2,,,2005
19.05,57,57,Stage 1 - Saint-Girons › Aulus-les-Bains ,115.5,,,2005
25.04 » 01.05,,,Ruban Granitier Breton (2.2) ,,,,2005
,54,,General classification ,,,,2005
01.05,75,,Stage 6 - Quimperlé › Josselin ,156.0,,,2005
30.04,69,,Stage 5 - Ploeuc › Quimperlé ,153.4,,,2005
29.04,49,,Stage 4 - Rosporden › Plaintel ,147.3,,,2005
28.04,62,,Stage 3 - Auray › Douarnenez ,173.9,,,2005
26.04,30,,Stage 1 - Rennes › La Chapelle-des-Marais ,153.2,,,2005
25.04,1,,Prologue - Rennes › Rennes ,5.3,5,,2005
12.01,3,,National TT Open Championships Australia (NC) ,40.0,,,2005
08.10,52,,World Championships MJ - ITT (WC) ,20.8,,,2003
