date,result ranking,general classification,race name,distance,PCS point,UCI point
22.03 » 26.03,,,Setmana-Catalana (2.1),,,
,50,,General classification,,,
26.03,84,,Stage 5 - Solsona › Parets del Vallès,168,,
25.03,43,50,Stage 4 - Palau Solita i Plegamans › El Port del Comte,179.5,,
24.03,51,65,Stage 3 - Castello d'Empuries › Motcada,159.5,,
23.03,71,71,Stage 2 - Lloret de Mar › Empuriabrava,160.8,,
22.03,86,86,Stage 1 - Lloret de Mar › Lloret de Mar,165.5,,
03.03 » 07.03,,,Vuelta a Murcia (2.3),,,
,52,,General classification,,,
07.03,79,,Stage 5 - Murcia › Murcia,133,,
06.03,34,47,Stage 4 - Totana › Alto Collado Bermejo,169,,
05.03,80,84,Stage 3 - Yecla › Catlike (Yecla),156.4,,
04.03,104,105,Stage 2 (ITT) - Lorca › Lorca,21.3,,
03.03,68,68,Stage 1 - Murcia › San Pedro del Pinatar,177,,
06.02 » 15.02,,,Le Tour de Langkawi (2.2),,,
,19,,Mountains classification,,,
,55,,Points classification,,,
,15,,General classification,,6,
15.02,49,,Stage 10 - Kuala Lumpur › Kuala Lumpur,75.7,,
14.02,18,15,Stage 9 - Kuala Lumpur › Genting Highlands,131.6,,
13.02,54,23,Stage 8 - Port Dickson › Shah Alam,96.4,,
12.02,67,23,Stage 7 - Pontian › Melaka,166.7,,
11.02,64,23,Stage 6 - Muar › Johor Bahru,175.2,,
10.02,69,23,Stage 5 (ITT) - Melaka › Melaka,18,,
09.02,90,14,Stage 4 - Hulu Kelang › Tampin,147.8,,
08.02,46,15,Stage 3 - Tapah › Raub,171.2,,
07.02,11,11,Stage 2 - Ipoh › Tanah Rata,151.6,,
05.10,8,,Memorial Galera - Ciudad de Armilla (1.3),145,18,
06.09 » 26.09,,,Vuelta a España (),,,
,61,,General classification,,20,
26.09,132,,Stage 21 - Madrid  ›  Madrid,145.8,,
25.09,128,61,Stage 20 (ITT) - San Lorenzo de El Escorial  ›  Alto de Abantos,11.2,,
24.09,45,59,Stage 19 - Alcobendas  ›  Collado Villalba ,164,,
23.09,115,65,Stage 18 - Las Rozas  ›  Las Rozas,143.8,,
22.09,48,65,Stage 17 - Granada ›  Córdoba,188.4,,
21.09,22,71,Stage 16 - Jaén ›  Sierra Nevada,162,,
20.09,29,94,Stage 15 - Valdepeñas  › La Pandera,172.1,,
19.09,142,113,Stage 14 - Albacete › Valdepeñas,167.4,,
18.09,159,114,Stage 13 (ITT) - Albacete  ›  Albacete,53.3,,
17.09,135,109,Stage 12 - Cuenca › Albacete,168.8,,
16.09,40,102,Stage 11 - Utiel  ›  Cuenca,162,,
15.09,127,114,Stage 10 - Andorra › Sabadell,194,,
14.09,76,111,Stage 9 - Viella › Port d'Envalira ,174.8,,
13.09,51,128,Stage 8 - Cauterets › Pla de Beret ,166,,
12.09,71,173,Stage 7 - Huesca › Cauterets,190,,
11.09,186,186,Stage 6 (ITT) - Zaragoza  ›  Zaragoza,43.8,,
10.09,179,187,Stage 5 - Soria › Zaragoza,166.7,,
09.09,165,188,Stage 4 - Santander  ›  Burgos,151,,
08.09,183,193,Stage 3 - Cangas de Onís › Santander,154.3,,
07.09,191,191,Stage 2 - Gijón  ›  Cangas de Onís,148,,
10.08,33,,Urkiola Igoera - Subida Urkiola (1.3),160,,
09.08,48,,Clasica Ciclista San Sebastian (CDM),227,5,
16.06 » 22.06,,,Volta a Catalunya (2.HC),,,
,15,,Points classification,,,
,8,,General classification,,90,
22.06,37,,Stage 7 - Sant Joan Despi › Barcelona (La Pedrera),128,,
21.06,75,,Stage 6 (ITT) - Molins De Rei › Vallvidrera (Barcelona),13.1,,
20.06,43,,Stage 5 - Llivia › Manresa,166.3,,
19.06,10,,Stage 4 - Andorra La Vella › Llivia,157.4,1,
18.06,5,,Stage 3 - La Pobla De Mafumet › Andorra (Cortals D'encamp),216.6,10,
17.06,31,18,Stage 2 - Mora D'ebre › El Morell,183.6,,
16.06,7,47,Stage 1 (TTT) - Salou  › Vilaseca,22.9,,
04.06 » 08.06,,,Euskal Bizikleta (2.1),,,
,17,,Points classification,,,
,16,,General classification,,16,
08.06,16,,Stage 5 - ETB (Iurreta) › Arrate (Eibar),147.9,,
07.06,13,9,Stage 4a - Murgia › Deba-Itziar,87.4,,
07.06,64,20,Stage 4b (ITT) - Deba › Deba,16.5,,
06.06,8,9,Stage 3 - Aizarnazabal › Santuario Virgen de Oro,187.6,1,
05.06,29,33,Stage 2 - Ispaster › Aizarnazabal,167.2,,
04.06,56,56,Stage 1 - Eibar › Ispaster,146.5,,
18.05,9,,Subida al Naranco (1.3),162,16,
13.05 » 17.05,,,Vuelta Asturias (2.2),,,
,39,,Points classification,,,
,13,,General classification,,8,
17.05,35,,Stage 5 - Cangas del Narcea › Oviedo,164.2,,
16.05,13,13,Stage 4 - Cafés Toscaf › Santuario del Acebo,180.2,,
15.05,56,42,Stage 3 - Gijón › Avilés,166.7,,
14.05,56,51,Stage 2 - Llanes › Gijón,153,,
13.05,51,51,Stage 1 - Oviedo › Llanes,166.3,,
16.04 » 20.04,,,Vuelta a Aragon (2.2),,,
,5,,Mountains classification,,,
,25,,General classification,,,
20.04,88,,Stage 5 - La Muela › Zaragoza,149,,
19.04,76,26,Stage 4 - La Muela › Borja,168.5,,
18.04,38,26,Stage 3 - Illueca › Illueca,157,,
17.04,66,27,Stage 2 - Benasque › Sabiñanigo,185.2,,
16.04,30,29,Stage 1 - Huesca › Cerler,152.2,,
07.04 » 11.04,,,Vuelta al Pais Vasco (2.HC),,,
