date,result ranking,general classification,race name,distance,PCS point,UCI point,year
14.06 » 20.06,,,Circuito Montañes (2.2) ,,,,2006
16.06,DNF,,Stage 3 - Laredo › Maliaño ,147,,,2006
15.06,36,,Stage 2 - Renedo de Piélagos › Santoña ,150.7,,,2006
14.06,64,,Stage 1 - Santander › El Astill0ero ,164.2,,,2006
25.05,DNF,,Tour de Vendée (1.1) ,201,,,2006
11.05 » 15.05,,,Vuelta Ciclista a la Comunidad de Madrid (2.2) ,,,,2006
,41,,General classification ,,,,2006
14.05,51,41,Stage 4 - Humanes › Humanes ,114.5,,,2006
13.05,18,41,Stage 3 - San Sebastián de los Reyes › San Sebastián de los Reyes ,153.3,,,2006
12.05,58,61,Stage 2 - Valdelaguna › Valdelaguna ,145,,,2006
11.05,89,89,Stage 1 (ITT) - Madrid › Madrid ,8.5,,,2006
03.05 » 07.05,,,Vuelta Ciclista Internacional a Extremadura (2.2) ,,,,2006
,60,,General classification ,,,,2006
07.05,41,,Stage 5 - Don Benito › Don Benito ,142.8,,,2006
06.05,20,66,Stage 4a - Merida › Merida ,100,,,2006
06.05,98,72,Stage 4b (ITT) - La Zarza › La Zarza ,4.1,,,2006
05.05,57,66,Stage 3 - Almendralejo › Almendralejo ,129.6,,,2006
04.05,52,77,Stage 2 - Plasencia › Caceres ,167.8,,,2006
03.05,97,97,Stage 1 - Castelo Braco › Plasencia ,169.2,,,2006
18.04 » 21.04,,,Giro del Trentino (2.1) ,,,,2006
20.04,122,,Stage 3 - Romeno › Tione ,168,,,2006
19.04,112,,Stage 2 - Castello Tesino › Clès ,174,,,2006
18.04,140,,Stage 1 - Arco › Castello Tesino ,162,,,2006
26.02,DNF,,GP Lugano (1.1) ,174.3,,,2006
14.06 » 20.06,,,Circuito Montañes (2.2) ,,,,2006
16.06,DNF,,Stage 3 - Laredo › Maliaño ,147.0,,,2006
15.06,36,,Stage 2 - Renedo de Piélagos › Santoña ,150.7,,,2006
14.06,64,,Stage 1 - Santander › El Astill0ero ,164.2,,,2006
25.05,DNF,,Tour de Vendée (1.1) ,201.0,,,2006
11.05 » 15.05,,,Vuelta Ciclista a la Comunidad de Madrid (2.2) ,,,,2006
,41,,General classification ,,,,2006
14.05,51,41,Stage 4 - Humanes › Humanes ,114.5,,,2006
13.05,18,41,Stage 3 - San Sebastián de los Reyes › San Sebastián de los Reyes ,153.3,,,2006
12.05,58,61,Stage 2 - Valdelaguna › Valdelaguna ,145.0,,,2006
11.05,89,89,Stage 1 (ITT) - Madrid › Madrid ,8.5,,,2006
03.05 » 07.05,,,Vuelta Ciclista Internacional a Extremadura (2.2) ,,,,2006
,60,,General classification ,,,,2006
07.05,41,,Stage 5 - Don Benito › Don Benito ,142.8,,,2006
06.05,20,66,Stage 4a - Merida › Merida ,100.0,,,2006
06.05,98,72,Stage 4b (ITT) - La Zarza › La Zarza ,4.1,,,2006
05.05,57,66,Stage 3 - Almendralejo › Almendralejo ,129.6,,,2006
04.05,52,77,Stage 2 - Plasencia › Caceres ,167.8,,,2006
03.05,97,97,Stage 1 - Castelo Braco › Plasencia ,169.2,,,2006
18.04 » 21.04,,,Giro del Trentino (2.1) ,,,,2006
20.04,122,,Stage 3 - Romeno › Tione ,168.0,,,2006
19.04,112,,Stage 2 - Castello Tesino › Clès ,174.0,,,2006
18.04,140,,Stage 1 - Arco › Castello Tesino ,162.0,,,2006
26.02,DNF,,GP Lugano (1.1) ,174.3,,,2006
27.09,20,,Ruota d'Oro (1.2) ,163.0,,,2005
08.09 » 11.09,,,Giro della Toscana (2.2) ,,,,2005
,2,,General classification ,,18,,2005
11.09,5,,Stage 4 - Malva › Saltino Di Vallombrosa ,140.0,,,2005
10.09,8,2,Stage 3 - Siena › Pievescola ,160.0,,,2005
04.09,92,,Giro di Romagna (1.1) ,191.2,,,2005
24.08,19,,GP Nobili Rubinetterie (1.1) ,184.8,2,,2005
18.08,67,,Coppa Bernocchi (1.1) ,199.0,,,2005
17.08,16,,Coppa Agostoni (1.1) ,196.0,,,2005
09.08,50,,GP Fred Mengoni (1.1) ,203.8,,,2005
11.06 » 20.06,,,Giro Ciclistico d'Italia (2.6) ,,,,2004
12.06,47,,Stage 2 - Ravenna › Porto Tolle ,180.2,,,2004
21.03,13,,Gran Premio San Giuseppe (1.6) ,159.0,,,2004
29.06,20,,National Championships Italy U23 - Road Race (NC) ,,,,2002
15.06 » 22.06,,,Giro Ciclistico d'Italia (2.2) ,,,,2002
20.06,7,,Stage 6 ,160.0,,,2002
15.06,3,,Stage 1 - Marsciano › Marsciano ,147.0,1,,2002
