date,result ranking,general classification,race name,distance,PCS point,UCI point
12.04 » 15.04,,,Giro di Sicilia - Tour of Sicily (2.1),,,
,4,,Youth classification,,,
,11,,General classification,,12,15
15.04,14,,Stage 4 - Ragalna › Etna,140,,
14.04,23,18,Stage 3 - Realmonte › Piazza Armerina,171,,
13.04,17,18,Stage 2 - Palma di Montechiaro › Caltanissetta,152,,
12.04,58,59,Stage 1 - Milazzo › Bagheria,199,,
03.04,13,,Trofeo Piva (1.2U),179.2,,
27.03,27,,Trofeo Città di San Vendemiano - Gran Premio Industria e Commercio (1.2U),179.6,,
28.09,15,,Ruota d'Oro - GP Festa del Perdono (1.2U),173,,
16.08,1,,GP Capodarco Comunita Di Capodarco (1.2U),180,15,30
08.08,DNF,,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni (1.2U),164.2,,
04.07,3,,Giro del Medio Brenta (1.2),171.6,7,25
19.06,20,,National Championships Italy U23  - Road Race (NC),175,,
03.06 » 12.06,,,Giro Ciclistico d'Italia (2.2),,,
,14,,Youth classification,,,
,33,,General classification,,,
12.06,92,,Stage 10 - San Vito al Tagliamento › Castelfranco Veneto ,162.7,,
11.06,22,33,Stage 9 - Cavalese › Nevegal,167.1,,
10.06,96,45,Stage 8 - Aprica  › Andalo,115.5,,
09.06,59,37,Stage 7 - Sondrio › Lanzada Lago di Campo Moro,119.4,,
08.06,30,20,Stage 6 - Bonferraro di Sorgà › San Pellegrino Terme,177.5,,
07.06,36,22,Stage 5 - Fanano › Sestola,142,,
06.06,20,13,Stage 4 (ITT) - Sorbolo Mezzani › Guastalla,25.4,,
05.06,70,24,Stage 3 - Cesenatico  › Cesenatico ,132.5,,
04.06,21,23,Stage 2 - Riccione › Imola,138.3,,
03.06,99,99,Stage 1 - Cesenatico › Riccione,144.5,,
30.05,29,,Coppa della Pace - Trofeo F.lli Anelli (1.2U),172,,
04.04,34,,Trofeo Piva (1.2U),171.08,,
21.03,90,,"Per Sempre ""Alfredo"" (1.1)",162,,
04.10,DNF,,Il Piccolo Lombardia (1.2U),177.7,,
20.09,DNF,,Tr. Città di S. Vendemiano - 60° GP Industria & Commercio (1.2U),175.8,,
29.08 » 05.09,,,Giro Ciclistico d'Italia (2.2U),,,
,9,,Youth classification,,,
,115,,General classification,,,
05.09,58,,Stage 8 - Aprica › Aprica,120.9,,
04.09,119,125,Stage 7 - Barzio › Montespluga,116.5,,
03.09,109,126,Stage 6 - Colico › Colico,157.2,,
02.09,130,127,Stage 5 - Marostica › Rosà,145.8,,
01.09,112,125,Stage 4 - Bonferraro di Sorgà › Bolca,159.6,,
31.08,143,135,Stage 3 - Riccione ›  Mordano,149.4,,
30.08,136,134,Stage 2 - Gradara  ›  Riccione,103.9,,
29.08,143,143,Stage 1 - Urbino › Urbino,149,,
16.02,DNF,,Trofeo Laigueglia (1.Pro),202,,
29.08 » 01.09,,,Giro della Lunigiana (2.1),,,
01.09,DNF,,Stage 4 - Ameglia › Luni,107.7,,
31.08,36,28,Stage 3 - Casette › Casette,113.6,,
30.08,82,26,Stage 2a - Aulla › Castelnuovo Magra,70.6,,
30.08,36,17,Stage 2b (ITT) - Bocca di Magra › Montemarcello,4.5,,
29.08,14,15,Stage 1 - Lerici › La Specia,100,,
20.06 » 23.06,,,LVM Saarland Trofeo (2.Ncup),,,
,12,,General classification,,32,
23.06,23,,Stage 4 - Walsheim › Walsheim,118,,
22.06,48,17,Stage 3a - Homburg › Homburg,81,,
22.06,5,12,Stage 3b (TTT) - Bitche › Reinheim,31.6,,
21.06,23,18,Stage 2 - Neunkirchen  › Münchwies,111,,
20.06,10,10,Stage 1 - Aßweiler  › Erfweiler-Ehlingen,113,,
09.06,6,,Gran Premio dell'Arno (1.1),124,24,
26.05,2,,Tf GD Dorigo MO Biemmereti MO Ettore e Cristiano Floriani MO Emilio Mazzero (1.1),134.7,55,
25.05,1,,Gran Premio Eccellenze Valli del Soligo (Cronosquadre) (1.1),17.8,15,
19.05,6,,G.P. Sportivi Sovilla-La Piccola Sanremo (1.1),125.95,24,
03.08 » 05.08,,,Giro del Nordest d'Italia (2.1),,,
,2,,Youth classification,,,
,10,,Points classification,,,
,4,,General classification,,36,
05.08,7,,Stage 3 - Udine › Sauris di Sotto,94,2,
04.08,77,6,Stage 2 - Buttrio › Buttrio,96.7,,
10.06,31,,Gran Premio dell'Arno (1.1),124,,
27.05,11,,Tf GD Dorigo MO Biemmereti MO Ettore e Cristiano Floriani MO Emilio Mazzero (1.1),134.7,12,
29.04,19,,G.P. Sportivi Sovilla-La Piccola Sanremo (1.1),146.6,2,
