date,result ranking,general classification,race name,distance,PCS point,UCI point
05.09,111,,Kernen Omloop Echt-Susteren (1.2),172.7,,
17.05 » 22.05,,,Royal Smilde Olympia’s Tour (2.2),,,
21.05,DNS,,Stage 5 - Reuver › Buchten,224.3,,
20.05,125,,Stage 4 - Dinxperlo › Reuver,178.7,,
19.05,116,,Stage 3 - Meppel › Gendringen,159.4,,
18.05,132,,Stage 2 - Heerenveen › Meppel,156.1,,
17.05,111,,Prologue - Heerenveen › Heerenveen,10,,
12.05,DNF,,Batavus Prorace (1.1),212.9,,
01.05,84,,Ronde van Overijssel (1.2),201.7,,
06.03,83,,Ster van Zwolle (),170.3,,
30.08,50,,Ronde van Midden-Nederland (),190,,
13.05,56,,Batavus Prorace (1.1),214.1,,
02.10 » 05.10,,,Circuit Franco-Belge (2.1),,,
,48,,General classification,,,
05.10,41,,Stage 4 - Havré › Tournai,132.9,,
04.10,64,,Stage 3 - Mouscron › Mouscron ,199.2,,
03.10,15,,Stage 2 - Bray-Dunes › Poperinge,184.3,,
02.10,152,,Stage 1 - Maubeuge › Mons en Pévèle,187.9,,
17.05 » 25.05,,,Olympia's Tour (2.2),,,
24.05,106,,Stage 8 - Varsseveld  › Buchten,195,,
23.05,85,,Stage 7 (ITT) - Gendringen › Gendringen,18.3,,
23.05,117,,Stage 6 - Son en Breugel › Gendringen,131,,
22.05,81,,Stage 5 - Hasselt  › Gerwen,227,,
21.05,86,,Stage 4 - Appelscha › Genemuiden,159,,
20.05,41,,Stage 3 - Heehugowaard  › Appelscha,197,,
19.05,124,,Stage 2 - Wassenaar › Heerhugowaard,176,,
18.05,124,,Stage 1 - Wassenaar › Wassenaar,142,,
17.05,100,,Prologue - Wassenaar › Wassenaar,5.2,,
14.05,30,,Batavus Pro Race (1.1),208,,
12.04,DNF,,Albert Achterhes Pet Ronde van Drenthe (1.1),209,,
03.10,DNF,,Sparkassen Münsterland Giro (1.1),209.3,,
30.06,38,,National Championships Netherlands U23 - Road Race (NC),162,,
27.06,18,,Profronde van Fryslan (1.1),209,3,
03.06,27,,Paris - Roubaix Espoirs (1.2U),179.4,,
12.05 » 20.05,,,Olympia's Tour (2.2),,,
,12,,General classification,,,
20.05,67,,Stage 9 - Buchten › Buchten,192.9,,
19.05,37,,Stage 8 - Son en Breugel › Buchten,151.8,,
18.05,93,,Stage 7 - Hardenberg › Son en Breugel,211.4,,
17.05,63,,Stage 6 (ITT) - Hardenberg › Hardenberg,17,,
17.05,18,,Stage 5 - Heerenveen › Hardenberg,98.7,,
16.05,8,,Stage 4 - Heerhugowaard › Heerenveen,173.8,,
15.05,24,,Stage 3 - Hoofddorp › Heerhugowaard,146.9,,
14.05,14,,Stage 2 - Gendringen › Hoofddorp,197.4,,
13.05,114,,Stage 1 - Anholt › Gendringen,158.5,,
12.05,40,,Prologue - Varsseveld › Varsseveld,6.4,,
06.05,54,,Omloop der Kempen (1.2),200,,
05.05,91,,Ronde van Overijssel (1.2),201.2,,
23.09,102,,Delta Ronde van Midden-Zeeland (1.1),192,,
24.06,29,,National Championships Netherlands U23 - Road Race (NC),158,,
13.05 » 21.05,,,Olympia's Tour (2.2),,,
13.05,71,,Prologue - Noordwijkerhout › Noordwijkerhout,4.8,,
23.04,7,,Ronde van Noord-Holland (1.1),204.5,20,
14.05 » 23.05,,,Olympia's Tour (2.2),,,
22.05,DNF,,Stage 8 - Buchten › Ossendrecht,219,,
21.05,74,72,Stage 7 - Geleen › Buchten,175,,
20.05,18,47,Stage 6 - Nunspeet › Rhenoy,140,,
19.05,58,52,Stage 5 (ITT) - Nunspeet › Nunspeet,20,,
18.05,47,61,Stage 4 - Tiel › Nunspeet,100,,
17.05,42,62,Stage 3 - Hardenberg › Tiel,180,,
16.05,35,63,Stage 2 - Veendam › Hardenberg,170,,
15.05,65,65,Stage 1 - Veendam › Veendam,138,,
14.05,121,121,Prologue - Veendam › Veendam,6.4,,
24.04,DNF,,Ronde van Noord-Holland (1.1),200,,
09.04,31,,Albert Achterhes Pet Ronde van Drenthe (1.1),201,,
04.09,65,,Delta Ronde van Midden-Zeeland (1.2),199,,
01.05,65,,Ronde van Overijssel (1.5),194.9,,
25.04,18,,Ronde van Noord-Holland (1.3),200,3,
23.05 » 25.05,,,Int. Junioren Driedaagse van Axel (SC),,,
,52,,General classification,,5,
24.05,67,95,Stage 3 - Axel › Axel,108,,
24.05,165,,Stage 2 (ITT) - Zuiddorpe › Zuiddorpe,10.5,,
23.05,1,1,Stage 1 - Terneuzen › Philippine,102.5,30,
17.05 » 18.05,,,Trophée Centre-Morbihan (2.8),,,
,13,,Points classification,,,
,15,,General classification,,6,
18.05,16,,Stage 3 - Naizin  › Saint-Jean-Brévelay,,,
18.05,12,,Stage 2 (ITT) - Reguiny › Naizin,,,
17.05,7,,Stage 1 - Colpo › Reguiny,110.1,2,
01.05 » 04.05,,,La Coupe du Président de la Ville de Grudziądz (SC),,,
,16,,General classification,,16,
