date,result ranking,general classification,race name,distance,PCS point,UCI point,year
17.04,21,,Paris-Roubaix (1.UWT),257.2,19,20,2022
30.03,DNF,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7,,,2022
27.03,96,,Gent-Wevelgem in Flanders Fields ME (1.UWT),248.8,5,,2022
25.03,111,,E3 Saxo Bank Classic (1.UWT),203.9,5,,2022
06.03 » 13.03,,,Paris - Nice (2.UWT),,,,2022
10.03,DNS,,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut,188.8,,,2022
09.03,8,9,Stage 4 (ITT) - Domérat › Montluçon,13.4,3,,2022
08.03,33,24,Stage 3 - Vierzon › Dun-le-Palestel,190.8,,,2022
07.03,35,24,Stage 2 - Auffargis › Orléans,159.2,,,2022
06.03,63,63,Stage 1 - Mantes-la-Ville › Mantes-la-Ville,159.8,,,2022
20.02 » 26.02,,,UAE Tour (2.UWT),,,,2022
,11,,Youth classification,,,,2022
,9,,Points classification,,,,2022
,48,,General classification,,5,5,2022
26.02,61,,Stage 7 - Al Ain › Jebel Hafeet,148,,,2022
25.02,15,44,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai ,180,,,2022
24.02,118,43,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island ,182,,,2022
23.02,50,42,Stage 4 - Fujairah Fort › Jebel Jais,181,,,2022
22.02,1,1,Stage 3 (ITT) - Ajman › Ajman,9,50,40,2022
21.02,30,24,Stage 2 - Hudayriyat Island › Abu Dhabi Breakwater,176,,,2022
20.02,22,25,Stage 1 - Madinat Zayed › Madinat Zayed,184,,,2022
03.10,62,,Paris-Roubaix (1.UWT),257.7,5,,2021
29.09,62,,Eurométropole Tour (1.Pro),177.6,,,2021
26.09,DNF,,World Championships - Road Race (WC),268.3,,,2021
22.09,4,,World Championships - Mixed Relay TTT (WC),44.5,5,50,2021
19.09,7,,World Championships - ITT (WC),43.3,80,85,2021
09.09,4,,European Continental Championships - ITT (CC),22.4,7,30,2021
30.08 » 05.09,,,Benelux Tour (2.UWT),,,,2021
,10,,Points classification,,,,2021
,58,,General classification,,5,2,2021
05.09,60,,Stage 7 - Namur › Geraardsbergen,177.9,,,2021
04.09,71,69,Stage 6 - Ottignies-Louvain-la-Neuve › Houffalize,207.6,,,2021
03.09,102,67,Stage 5 - Riemst › Bilzen,192,,,2021
02.09,19,1,Stage 4 - Aalter › Ardooie,166.1,,,2021
01.09,21,1,Stage 3 - Essen › Hoogerheide,168.3,,,2021
31.08,1,1,Stage 2 (ITT) - Lelystad › Lelystad,11.1,50,50,2021
30.08,23,25,Stage 1 - Surhuisterveen › Dokkum,169.6,,,2021
26.06 » 18.07,,,Tour de France (2.UWT),,,,2021
,19,,Youth classification,,,,2021
,39,,Points classification,,,,2021
,103,,General classification,,25,,2021
18.07,63,,Stage 21 - Chatou › Paris Champs-Élysées,108.4,,,2021
17.07,5,104,Stage 20 (ITT) - Libourne › Saint-Émilion,30.8,32,5,2021
16.07,89,109,Stage 19 - Mourenx › Libourne,207,,,2021
15.07,85,108,Stage 18 - Pau › Luz Ardiden,129.7,,,2021
14.07,122,108,Stage 17 - Muret › Saint-Lary-Soulan (Col du Portet),178.4,,,2021
13.07,97,105,Stage 16 - El Pas de la Casa  › Saint-Gaudens,169,,,2021
11.07,138,106,Stage 15 - Céret › Andorra la Vella,191.3,,,2021
10.07,142,99,Stage 14 - Carcassonne › Quillan,183.7,,,2021
09.07,60,88,Stage 13 - Nîmes › Carcassonne,219.9,,,2021
08.07,13,94,Stage 12 - Saint-Paul-Trois-Châteaux › Nîmes,159.4,4,,2021
07.07,93,105,Stage 11 - Sorgues › Malaucène,198.9,,,2021
06.07,21,109,Stage 10 - Albertville › Valence,190.7,,,2021
04.07,88,115,Stage 9 - Cluses › Tignes,144.9,,,2021
03.07,118,118,Stage 8 - Oyonnax › Le Grand-Bornand,150.8,,,2021
