date,result ranking,general classification,race name,distance,PCS point,UCI point,year
07.10 » 08.10,,,Grand Prix Chantal Biya (2.2) ,,,,2006
08.10,2,,Stage 2 - Sangmelima › Yaoundé ,162,2,,2006
26.04 » 02.05,,,Ruban Granitier Breton (2.6) ,,,,2004
01.05,DNF,,Stage 5 - Missillac › Dol-de-Bretagne ,187.9,,,2004
30.04,95,97,Stage 4 - Sarzeau › Missillac ,133.8,,,2004
29.04,39,99,Stage 3 - Névez › Saint-Gildas-de-Rhuys ,167.7,,,2004
28.04,103,102,Stage 2 - Bourbriac › Névez ,172.7,,,2004
27.04,75,73,Stage 1 - Rennes › Saint-Brieuc ,147.9,,,2004
26.04,109,109,Prologue - Cesson-Sévigné › Cesson-Sévigné ,4.2,,,2004
08.05 » 11.05,,,Tour de la Manche (2.6) ,,,,2003
,26,,General classification ,,,,2003
10.05,19,,Stage 4 - Hambye › Saint-Hilaire-du-Harcouët ,97.5,,,2003
