date,result ranking,general classification,race name,distance,PCS point,UCI point
12.04 » 15.04,,,Giro di Sicilia - Tour of Sicily (2.1),,,
,69,,General classification,,,
15.04,76,,Stage 4 - Ragalna › Etna,140,,
14.04,76,70,Stage 3 - Realmonte › Piazza Armerina,171,,
13.04,73,70,Stage 2 - Palma di Montechiaro › Caltanissetta,152,,
12.04,64,65,Stage 1 - Milazzo › Bagheria,199,,
02.04,100,,Gran Premio Miguel Indurain (1.Pro),190,,
27.03,DNF,,GP Industria  (1.Pro),192.2,,
20.03,DNF,,Per Sempre Alfredo (1.1),172.7,,
24.02 » 27.02,,,Gran Camiño (2.1),,,
,16,,Points classification,,,
,76,,General classification,,,
27.02,33,,Stage 4 (ITT) - Sarria  › Sarria ,15.8,,
26.02,62,78,Stage 3 - Maceda  › Luintra,148.4,,
25.02,80,80,Stage 2 - Bertamiráns  › Mirador do Ézaro,177.6,,
24.02,9,15,Stage 1 - O Porriño › Vigo,165,,
16.02 » 20.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,
18.02,DNS,,Stage 3 - Lucena › Otura,153.2,,
17.02,103,84,Stage 2 - Archidona › Alcalá la Real,150.6,,
16.02,2,2,Stage 1 - Ubrique › Iznájar,200.7,18,10
14.02,38,,Clásica Jaén Paraiso Interior (1.1),187.8,,
13.02,21,,Clasica de Almeria (1.Pro),188.2,5,5
12.02,37,,Vuelta Ciclista a la Region de Murcia Costa Calida (1.1),183.2,,
02.02 » 06.02,,,Volta a la Comunitat Valenciana (2.Pro),,,
,100,,General classification,,,
06.02,29,,Stage 5 - Paterna › Valencia,92,,
05.02,17,103,Stage 4 - Orihuela › Torrevieja ,193.1,,
04.02,100,116,Stage 3 - Alicante › Antenas del Maigmó,155.1,,
03.02,121,130,Stage 2 - Bétera › Torrent,171.5,,
02.02,115,115,Stage 1 - Les Alqueries › Torralba del Pinar,166.7,,
16.10,DNF,,Grand Prix du Morbihan (1.Pro),176.9,,
07.10,77,,Paris - Bourges (1.1),198,,
02.10,DNF,,Classic Loire Atlantique (1.1),182.8,,
29.09,123,,Eurométropole Tour (1.Pro),177.6,,
26.09,63,,Classique Paris-Chauny (1.1),205.3,,
23.09,DNF,,Omloop van het Houtland Middelkerke-Lichtervelde (1.1),190,,
21.09,DNF,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,,
17.09,114,,Kampioenschap van Vlaanderen (1.1),195.3,,
04.09,DNF,,Tour du Jura Cycliste (1.1),181.75,,
26.08 » 29.08,,,Deutschland Tour (2.Pro),,,
,17,,Mountains classification,,,
,73,,General classification,,,
