date,result ranking,general classification,race name,distance,PCS point,UCI point
17.12 » 29.12,,,Vuelta Internacional a Costa Rica (2.2),,,
,5,,Mountains classification,,,
,9,,Points classification,,,
,6,,General classification,,6,8
29.12,1,,Stage 12 - Pérez Zeledón › San José,134.8,5,8
28.12,8,10,Stage 11 - San Ramón  › Pejibaye,90.2,,
27.12,44,10,Stage 10 - Península de Osa › Península de Osa,121.4,,
26.12,15,9,Stage 9 - Jacó › Pérez Zeledón,143.1,,
25.12,8,8,Stage 8 - San José › San José,118.4,,
23.12,7,8,"Stage 7 (ITT) - San Pedro de Poás, Alajuela › San Pedro de Poás, Alajuela",18,,
22.12,3,10,Stage 6 - Cañas › Grecia,140.2,1,2
21.12,51,12,Stage 5 - San José › Cañas,138.9,,
20.12,9,12,Stage 4 - Guápiles › Paraíso de Cartago,138.9,,
19.12,24,25,Stage 3 (ITT) - Ticabán › Guápiles,28.8,,
18.12,30,34,Stage 2 - Limón › Guápiles,178.8,,
17.12,32,32,Stage 1 - San José › Limón,155.9,,
24.06,15,,National Championships Costa Rica - Road Race (NC),157,,
16.12 » 28.12,,,Vuelta Internacional a Costa Rica (2.2),,,
,17,,General classification,,,
28.12,32,,Stage 12 - Perez Zeledón › San José,134.8,,
27.12,8,,Stage 11 (ITT) - Perez Zeledón › Perez Zeledón,30.2,,
26.12,21,,Stage 10 - San José › Perez Zeledón,127.5,,
25.12,45,,Stage 9 - Circuito Presidente en Jacó › ,98,,
23.12,34,,Stage 8 (ITT) - Basílica de Cartago › Santa Rosa,13.6,,
22.12,21,,Stage 7 - Guapiles › Oreamunu,144,,
21.12,17,,Stage 6 - Santa Ana › Santa Ana,139.4,,
20.12,20,,Stage 5 - Liberia › Esparza,140,,
19.12,8,,Stage 4 - La Fortuna › Liberia,190.1,,
18.12,11,,Stage 3 - San Carlos › San Carlos,130.3,,
17.12,5,,Stage 2 - San José › Pital de San Carlos,149.7,,
16.12,11,,Stage 1 (TTT) - Tres Ríos › ,10.6,,
21.11 » 29.11,,,Vuelta Al Ecuador (2.2),,,
29.11,DNF,,Stage 9 - Quito Circuit › ,60,,
28.11,34,,Stage 8 (ITT) - Patricia Pilar › Santo Domingo,38.1,,
27.11,51,,Stage 7 - Milagro › Quevedo,145,,
26.11,46,,Stage 6 - Bucay › Milagro,82,,
25.11,56,,Stage 5 - Ambato › Riobamba,114,,
24.11,29,,Stage 4 - Quito › Ambato,131,,
23.11,59,,Stage 3 - Ibarra › Quito,136.2,,
22.11,70,,Stage 2 - Tulcan › Ibarra,128.5,,
21.11,52,,Stage 1 - Tulcan Circuit › ,60,,
20.10 » 01.11,,,Vuelta a Guatemala (2.2),,,
,33,,General classification,,,
01.11,54,,Stage 12 - Guatemala City › Guatemala City,85,,
31.10,38,,Stage 11 - Sololá › Tecpán Guatemala,,,
30.10,38,,Stage 10 - Huehuetenango › Solola,,,
29.10,43,,Stage 9 - San Pedro  › Huehuetenango,130,,
28.10,37,,Stage 8 - Quetzaltenango › Quetzaltenango,114,,
27.10,62,,Stage 7 - Retalhuleu › Quetzaltenango,,,
25.10,31,,Stage 6 (ITT) - Escuintla › Santa Lucía Cotzumalguapa,29,,
24.10,16,,Stage 5 - Jalapa › Jalapa,,,
23.10,18,,Stage 4 - San Jerónimo › Jalapa,,,
22.10,44,,Stage 3 - Santa Cruz › Coban,165,,
21.10,12,,Stage 2 - Esquipulas › Esquipulas,150,,
20.10,6,,Prologue - Guatemala City › Guatemala City,3.8,,
21.06,6,,National Championships Costa Rica - Road Race (NC),,1,
