date,result ranking,general classification,race name,distance,PCS point,UCI point,year
07.06,29,,Memorial Philippe Van Coningsloo (1.2) ,172,,,2009
03.04 » 05.04,,,Le Triptyque des Monts et Châteaux (2.2) ,,,,2009
,58,,General classification ,,,,2009
05.04,71,,Stage 4 - Château de Beloeil › Tournai ,164.5,,,2009
04.04,13,,Stage 3 - Frasnes-lez-Buissenal › Soignies ,126.7,,,2009
04.04,94,,Stage 2 (ITT) - Flobecq › Flobecq ,8.3,,,2009
03.04,36,,Stage 1 - Vieux Conde › Quevacamps ,170.2,,,2009
15.03,46,,Kattekoers () ,165,,,2009
07.03,16,,De Vlaamse Pijl (1.2) ,154.7,,,2009
03.09 » 07.09,,,Okolo Slovenska (2.2) ,,,,2008
,33,,Youth classification ,,,,2008
,90,,General classification ,,,,2008
07.09,84,,Stage 5 - Žilina › Žilina ,102.2,,,2008
06.09,90,,Stage 4b - Bánovce nad Bebravou › Žilina ,109.2,,,2008
06.09,80,,Stage 4a (ITT) - Bánovce nad Bebravou › Jankov vŕšok ,15.8,,,2008
05.09,64,,Stage 3 - Dohnany › Bánovce nad Bebravou ,195.5,,,2008
04.09,102,,Stage 2 - Zvolen › Dohnany ,148.8,,,2008
03.09,112,,Stage 1 - Zvolen › Zvolen ,140.5,,,2008
06.07,33,,De Drie Zustersteden - Willebroek (1.2) ,183.8,,,2008
10.06 » 15.06,,,Thüringen Rundfahrt (2.2) ,,,,2008
11.06,116,,Stage 2 - Bad Blankenburg ›  Bad Blankenburg ,167.4,,,2008
10.06,16,,Stage 1 - Gotha › Gotha ,80.8,,,2008
08.06,66,,Memorial Philippe Van Coningsloo (1.2) ,176.2,,,2008
27.05 » 01.06,,,Vuelta Ciclista a Navarra (2.2) ,,,,2008
,68,,General classification ,,,,2008
01.06,47,,Stage 6 - Pamplona › Pamplona ,140,,,2008
31.05,75,,Stage 5 - Villatuerta › Alto del Perdon ,137,,,2008
30.05,76,,Stage 4 - Alsasua › Villatuerta ,149,,,2008
29.05,83,,Stage 3 - San Adrian › Alsasua ,138,,,2008
28.05,18,,Stage 2 - Pitillas › Tudela ,113,,,2008
27.05,41,,Stage 1 (TTT) - Pitillas › Pitillas ,16,,,2008
11.04 » 13.04,,,Circuit des Ardennes International (2.2) ,,,,2008
,89,,General classification ,,,,2008
13.04,109,,Stage 4 (ITT) - Villers-Semeuse ›  ,17,,,2008
13.04,97,,Stage 3 - Charleville-Mézières › Charleville-Mézières ,81.8,,,2008
12.04,4,,Stage 2 - Fumay › Givet ,150,,,2008
11.04,102,,Stage 1 - Monthermé › Nohan-sur-Semoy ,162.7,,,2008
04.04 » 06.04,,,Le Triptyque des Monts et Châteaux (2.2) ,,,,2008
,69,,General classification ,,,,2008
06.04,42,,Stage 4 - Château de Beloeil › Mouscron ,164.5,,,2008
05.04,96,,Stage 3 - Tournai › Chièvres ,125.9,,,2008
05.04,85,,Stage 2 (ITT) - Lessines › Lessines ,8.4,,,2008
04.04,36,,Stage 1 - Vieux-Condé › Quevacamps ,170.2,,,2008
26.03,13,,GP stad Waregem (1.2) ,141,,,2008
08.03,84,,Vlaamse Pijl-Harelbeke (1.2) ,154,,,2008
01.03,48,,Beverbeek Classic (1.2) ,168.6,,,2008
08.09 » 09.09,,,Triptyque des Barrages (2.2U) ,,,,2007
,44,,General classification ,,,,2007
09.09,9,,Stage 3 - Tarcienne › Tarcienne ,112.8,,,2007
09.09,73,,Stage 2 (ITT) - Froidchapelle › Froidchapelle ,14.7,,,2007
08.09,26,26,Stage 1 - Walcourt › Tarcienne ,177.5,,,2007
19.08,10,,National Championships Belgium U23 - Road Race (NC) ,178.1,,,2007
24.06,16,,Flèche Ardennaise () ,179,,,2007
10.06,18,,Memorial Philippe Van Coningsloo (1.2) ,177.4,,,2007
29.04,19,,Ronde van Vlaanderen U23 (1.2) ,160,,,2007
28.03,5,,GP De Waregem (1.2) ,149,6,,2007
18.03,11,,Kattekoers () ,166,,,2007
03.03,86,,Beverbeek Classic (1.2) ,168,,,2007
09.09 » 10.09,,,Triptyque des Barrages (2.2U) ,,,,2006
,28,,General classification ,,,,2006
10.09,71,,Stage 3 - Tarcienne › Tarcienne ,112.8,,,2006
10.09,59,29,Stage 2 (ITT) - Froidchapelle › Froidchapelle ,14.7,,,2006
09.09,26,26,Stage 1 - Gerpinnes › Tarcienne ,180,,,2006
04.06,68,,Memorial Philippe Van Coningsloo (1.2) ,173.5,,,2006
14.05,39,,Circuit De Wallonie (1.2) ,170,,,2006
23.04,26,,Ronde van Vlaanderen U23 (1.2) ,164,,,2006
22.03,51,,GP de Waregem (1.2) ,147,,,2006
12.03,16,,Kattekoers () ,133,,,2006
25.02,19,,Beverbeek Classic (1.2) ,172,,,2006
06.08 » 07.08,,,Liège - La Gleize (2.HC) ,,,,2005
06.08,11,,Stage 1a - Blegny › Herve ,86,,,2005
24.07,21,,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors (1.1) ,125,,,2005
08.07 » 11.07,,,Sint-Martinusprijs Kontich (2.1) ,,,,2005
,36,,General classification ,,,,2005
11.07,12,,Stage 4 - Kontich › Kontich ,117,,,2005
10.07,62,,Stage 3b - Kontich › Kontich ,103,,,2005
09.07,28,,Stage 2 - Kontich › Kontich ,125.8,,,2005
08.07,27,,Stage 1 (ITT) - Kontich › Kontich ,8.7,,,2005
26.06,20,,Circuit de la Région Wallonne (1.1) ,130,1,,2005
29.05,122,,National Championships Belgium MJ - Road Race (NC) ,134.4,,,2005
05.05,19,,Flanders-Europe Classic (1.1) ,,2,,2005
24.04,11,,Grand Prix Bati-Metallo (1.1) ,123,12,,2005
25.09 » 27.09,,,Keizer der Juniores (2.1) ,,,,2004
,22,,General classification ,,,,2004
27.09,20,,Stage 3 - Koksijde › Koksijde ,99.6,,,2004
25.09,42,,Stage 1 - Handzame › Handzame ,93.1,,,2004
12.09,29,,Curitas Classic Diegem (1.8) ,125,,,2004
18.07,81,,Ledegem-Kemmel-Ledegem (1.8) ,132,,,2004
31.05,27,,National Championships Belgium MJ - Road Race (NC) ,128,,,2004
20.05,22,,Flanders-Europe Classic (1.8) ,,,,2004
08.05,33,,Wortegem Koerse (1.8) ,,,,2004
02.05,29,,Vlaams-Brabantse Pijl - Korbeek-lo (1.8) ,128,,,2004
