date,result ranking,general classification,race name,distance,PCS point,UCI point,year
25.01 » 28.01,,,Tour of Indonesia (2.1) ,,,,2018
28.01,DNS,,Stage 4 - Gilimanuk › Den Pasar ,155,,,2018
27.01,85,47,Stage 3 - Probolinggo › Banyuwangi ,202,,,2018
26.01,31,38,Stage 2 -  Madiun ›  Mojokerto ,117.5,,,2018
25.01,28,34,Stage 1 - Prambanan › Ngawi ,127.4,,,2018
25.06,DNF,,National Championships Eritrea - Road Race (NC) ,152,,,2017
23.04,8,,Asmara Circuit (1.2) ,125.4,,3,2017
18.04 » 22.04,,,Tour Eritrea (2.2) ,,,,2017
,7,,Youth classification ,,,,2017
,14,,Points classification ,,,,2017
,16,,General classification ,,,,2017
22.04,19,,Stage 5 - Massawa › Asmara ,107.79,,,2017
21.04,22,12,Stage 4 - Mendefera › Massawa ,169.94,,,2017
20.04,6,12,Stage 3 - Dekemhare › Mendefera ,85.06,,,2017
19.04,11,13,Stage 2 - Hagaz › Asmara ,117.16,,,2017
18.04,17,13,Stage 1 - Dbarwa › Keren ,124.75,,,2017
16.04,22,,Massawa Circuit (1.2) ,121.2,,,2017
15.04,DNF,,Fenkil Northern Red Sea Challenge (1.2) ,110.84,,,2017
26.06,13,,National Championships Eritrea - Road Race (NC) ,166,,,2016
24.04,16,,Asmara Circuit (1.2) ,129.6,,,2016
19.04 » 23.04,,,Tour Eritrea (2.2) ,,,,2016
,2,,Youth classification ,,,,2016
,2,,Points classification ,,,,2016
,2,,General classification ,,18,30,2016
23.04,4,,Stage 5 - Massawa › Asmara ,113,,,2016
22.04,5,2,Stage 4 - Mendefera › Massawa ,172,,,2016
21.04,2,2,Stage 3 - Keren › Asmara ,93,2,3,2016
20.04,18,5,Stage 2 - Tesseney › Agordat ,112,,,2016
19.04,5,6,Stage 1 - Barentu › Tesseney ,117,,,2016
17.04,18,,Massawa Circuit (1.2) ,117.7,,,2016
16.04,25,,Fenkil Northen Red Sea Challenge (1.2) ,113,,,2016
28.06,DNF,,National Championships Eritrea - Road Race (NC) ,196,,,2015
26.06,26,,National Championships Eritrea - ITT (NC) ,36,,,2015
01.06,18,,National Championships Eritrea - Road Race (NC) ,166.4,,,2014
