date,result ranking,general classification,race name,distance,PCS point,UCI point,year
30.05 » 06.06,,,Critérium du Dauphiné Libéré () ,,,,1994
,24,,General classification ,,12,,1994
03.06,8,,Stage 4 - Romans › Échirolles ,196,3,,1994
29.08,DNF,,World Championships - Road Race (WC) ,257.6,,,1993
24.08,1,,GP Ouest France - Plouay () ,209,125,,1993
17.08 » 20.08,,,Tour du Limousin (2.1) ,,,,1993
,4,,General classification ,,36,,1993
17.08,2,,Stage 1 - Limoges › Guéret ,161,12,,1993
15.08,26,,Wincanton Classic (CDM) ,231,9,,1993
09.08 » 13.08,,,Kellogg's Tour (2.1) ,,,,1993
13.08,3,,Stage 5 - Bradford › Liverpool ,170,7,,1993
03.07 » 26.07,,,Tour de France () ,,,,1993
,17,,Mountains classification ,,,,1993
,28,,General classification ,,60,,1993
26.07,103,,Stage 20 - Viry-Châtillon  › Paris ,196.5,,,1993
25.07,103,,Stage 19 (ITT) - Brétigny-Sur-Orge  › Montlhéry ,48,,,1993
24.07,130,,Stage 18 - Orthez › Bordeaux ,199.5,,,1993
23.07,17,,Stage 17 - Tarbes › Pau ,190,,,1993
22.07,27,,Stage 16 - Andorra › Pla d'Adet ,230,,,1993
19.07,21,,Stage 15 - Perpignan › Pal ,231.5,,,1993
18.07,91,,Stage 14 - Montpellier › Perpignan ,223,,,1993
17.07,71,,Stage 13 - Marseille › Montpellier ,181.5,,,1993
16.07,37,,Stage 12 - Isola › Marseille ,286,,,1993
15.07,32,,Stage 11 - Serre Chevalier › Isola 2000 ,179,,,1993
14.07,14,,Stage 10 - Villard De Lans › Serre Chevalier ,203,2,,1993
12.07,150,,Stage 9 (ITT) - Lac De Madine › Lac De Madine ,59,,,1993
11.07,115,,Stage 8 - Châlons Sur Marne › Verdun ,184.5,,,1993
10.07,78,,Stage 7 - Péronne › Châlons Sur Marne ,199,,,1993
09.07,59,,Stage 6 - Évreux › Amiens ,158,,,1993
08.07,34,,Stage 5 - Avranches › Evreux ,225.5,,,1993
07.07,16,,Stage 4 (TTT) - Dinard › Avranches ,81,,,1993
06.07,90,,Stage 3 - Vannes › Dinard ,189.5,,,1993
05.07,58,,Stage 2 - Les Sables › Vannes ,227.5,,,1993
04.07,83,,Stage 1 - Luçon › Les Sables ,215,,,1993
03.07,152,152,Prologue - Puy-du-Fou › Puy-du-Fou ,6.8,,,1993
27.06,12,,National Championships France - Road Race (NC) ,259.2,,,1993
15.06 » 19.06,,,GP du Midi-Libre () ,,,,1993
,5,,General classification ,,70,,1993
19.06,4,,Stage 5 - Alés › Sete ,194,7,,1993
17.06,2,,Stage 3 - Caunes-Minervois  › Rodez  ,198,18,,1993
16.06,16,,Stage 2 - Saint-Cyprien › Quillan  ,199,,,1993
31.05 » 07.06,,,Critérium du Dauphiné Libéré () ,,,,1993
,7,,General classification ,,100,,1993
06.06,7,,Stage 6 - Grenoble  › Bourg-Saint-Maurice  ,200,4,,1993
05.06,3,,Stage 5 - Bonneville  › Grenoble  ,192,18,,1993
22.05,2,,Classique des Alpes () ,202,85,,1993
02.05,1,,Trophée des Grimpeurs () ,98.6,75,,1993
04.04,3,,GP de la Ville de Rennes () ,193,40,,1993
20.02 » 20.02,,,Tour du Haut Var () ,,,,1993
,1,, ,199,75,,1993
03.02 » 07.02,,,Etoile de Bessèges () ,,,,1993
,6,,General classification ,,24,,1993
05.02,10,,Stage 3 - Joyeuse › Joyeuse ,126,,,1993
04.02,6,,Stage 2 - Le Vigan › Le Vigan ,140,3,,1993
02.02,10,,Grand Prix d'Ouverture La Marseillaise () ,129.5,14,,1993
06.09,13,,World Championships - Road Race (WC) ,261.6,55,,1992
30.08,3,,GP Ouest France - Plouay () ,209,60,,1992
19.08 » 22.08,,,Tour du Limousin () ,,,,1992
,5,,General classification ,,28,,1992
21.08,5,,Stage 3 - Aubusson › Chaumeil ,190,4,,1992
20.08,3,,Stage 2 - Limoges › Sous-Parsat ,179,7,,1992
19.08,4,,Stage 1 - Saint-Yrieix › Saint-Yrieix ,157,5,,1992
16.08,35,,Wincanton Classic (CDM) ,236.6,5,,1992
10.08,2,,La Poly Normande () ,,55,,1992
04.07 » 26.07,,,Tour de France () ,,,,1992
,14,,Mountains classification ,,,,1992
,33,,General classification ,,35,,1992
26.07,50,,Stage 21 - La Défense › Paris ,141,,,1992
25.07,96,,Stage 20 - Blois › Nanterre ,222,,,1992
24.07,87,,Stage 19 (ITT) - Tours › Blois ,64,,,1992
23.07,86,,Stage 18 - Montluçon › Tours ,212,,,1992
22.07,72,,Stage 17 - La Bourboule › Montluçon ,189,,,1992
