date,result ranking,general classification,race name,distance,PCS point,UCI point,year
06.04 » 09.04,,,Cinturón Ciclista Internacional a Mallorca (2.2) ,,,,2011
,124,,General classification ,,,,2011
09.04,39,,Stage 4 - Playa de Palma › Playa de Palma ,144,,,2011
08.04,118,,Stage 3 - Playa de Muro › Playa de Muro ,147.9,,,2011
07.04,152,,Stage 2 - Port d'Alcudia › Puerto Pollensa ,148.5,,,2011
06.04,158,,Stage 1 (ITT) - S'Arenal de Llucmajor › S'Arenal de Llucmajor ,7.1,,,2011
06.04 » 09.04,,,Cinturón Ciclista Internacional a Mallorca (2.2) ,,,,2011
,124,,General classification ,,,,2011
09.04,39,,Stage 4 - Playa de Palma › Playa de Palma ,144.0,,,2011
08.04,118,,Stage 3 - Playa de Muro › Playa de Muro ,147.9,,,2011
07.04,152,,Stage 2 - Port d'Alcudia › Puerto Pollensa ,148.5,,,2011
06.04,158,,Stage 1 (ITT) - S'Arenal de Llucmajor › S'Arenal de Llucmajor ,7.1,,,2011
18.04,DNF,,Rund um Düren (1.2) ,159.8,,,2010
06.03,30,,Ster van Zwolle () ,170.3,,,2010
03.10,108,,Sparkassen Münsterland Giro (1.1) ,193.7,,,2009
16.08,94,,Antwerpse Havenpijl (1.2) ,181.4,,,2009
02.08,79,,Sparkassen Giro (1.1) ,177.0,,,2009
01.06,38,,Sparkassen Neuseen Classics – Rund um die Braunkohle (1.1) ,190.7,,,2009
20.05 » 24.05,,,Flèche du Sud (2.2) ,,,,2009
,97,,General classification ,,,,2009
24.05,53,,Stage 5 - Schifflange › Esch-sur-Alzette ,161.1,,,2009
23.05,82,,Stage 4 - Ettelbrück › Rumelange ,157.0,,,2009
22.05,128,,Stage 3 - Wiltz › Troisvierges ,151.1,,,2009
21.05,124,,Stage 2 - Kayl › Roeser ,158.0,,,2009
20.05,131,,Prologue - Esch-sur-Alzette › Esch-sur-Alzette ,4.17,,,2009
10.05,50,,Omloop der Kempen (1.2) ,200.0,,,2009
02.05,88,,Ronde van Overijssel (1.2) ,202.7,,,2009
19.04,11,,Rund um Düren (1.2) ,152.0,,,2009
13.04,DNF,,Albert Achterhes Pet Ronde van Drenthe (1.1) ,205.2,,,2009
13.04,26,,Rund um Köln (1.1) ,205.5,,,2009
15.03,58,,Omloop van het Waasland (1.2) ,191.0,,,2009
12.02,113,,Trofeo Calvia (1.1) ,147.6,,,2009
09.02,DNF,,Trofeo Cala: Cala Millor - Son Servera (1.1) ,176.5,,,2009
03.10,19,,Sparkassen Münsterland Giro (1.1) ,204.2,2,,2008
30.09,DNF,,Omloop Van De Vlaamse Scheldeboorden (1.1) ,196.4,,,2008
14.09,24,,Rund Um Die Nurnberger-altstadt (1.1) ,140.0,,,2008
07.09,DNF,,Grote Prijs Jef Scherens - Rondom Leuven (1.1) ,183.3,,,2008
02.07 » 06.07,,,Course de Solidarnosc et des Champions Olympiques (2.1) ,,,,2008
,8,,Youth classification ,,,,2008
,47,,General classification ,,,,2008
06.07,21,,Stage 7 - Wadowice › Jastrzębie Zdrój ,164.0,,,2008
05.07,17,,Stage 6 - Krosno › Nowy Sacz ,224.0,,,2008
04.07,25,,Stage 5 - Tarnobrzeg › Kielce ,140.8,,,2008
04.07,81,,Stage 4 (ITT) - Ozarów › Ozarów ,22.1,,,2008
03.07,69,,Stage 3 - Bialobrzegi › Radom ,162.9,,,2008
02.07,23,,Stage 2 - Radomsko › Belchatów ,100.1,,,2008
02.07,40,,Stage 1 - Lódz › Pabianice ,121.1,,,2008
10.06 » 15.06,,,Thüringen Rundfahrt (2.2) ,,,,2008
14.06,71,,Stage 5 (ITT) - Bad Berka › Bad Berka ,32.9,,,2008
14.06,100,,Stage 4 - Stadtlim › Waltershausen ,151.5,,,2008
12.06,99,,Stage 3 - Masserberg › Masserberg ,133.3,,,2008
11.06,103,,Stage 2 - Bad Blankenburg ›  Bad Blankenburg ,167.4,,,2008
10.06,114,,Stage 1 - Gotha › Gotha ,80.8,,,2008
14.05,DNF,,Batavus Pro Race (1.1) ,208.0,,,2008
30.04 » 04.05,,,Flèche du Sud (2.2) ,,,,2008
,98,,General classification ,,,,2008
04.05,69,,Stage 4 - Kayl › Esch-sur-Alzette ,165.0,,,2008
04.05,108,,Stage 3 - Preizerdaul › Roeser ,168.5,,,2008
02.05,114,,Stage 2 - Ettelbruck › Wiltz ,142.2,,,2008
01.05,49,,Stage 1 - Schifflange › Rumelange ,163.6,,,2008
30.04,119,,Prologue - Pétange › Pétange ,6.1,,,2008
12.04,DNF,,Albert Achterhes Pet Ronde van Drenthe (1.1) ,209.0,,,2008
