date,result ranking,general classification,race name,distance,PCS point,UCI point,year
16.04,50,,Tour du Jura Cycliste (1.1),169.8,,,2022
15.04,OTL,,Classic Grand Besançon Doubs (1.1),177.5,,,2022
12.04,68,,Paris - Camembert (1.1),213.8,,,2022
01.04,43,,La Route Adélie de Vitré (1.1),176.7,,,2022
19.03,60,,Classic Loire Atlantique (1.1),182.8,,,2022
17.03,DNF,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,,,2022
01.03,DNF,,Le Samyn (1.1),209,,,2022
27.02,86,,Drôme Classic (1.Pro),191.5,,,2022
26.02,47,,Faun-Ardèche Classic (1.Pro),168.5,,,2022
18.02 » 20.02,,,Tour des Alpes Maritimes et du Var (2.1),,,,2022
,24,,Youth classification,,,,2022
,90,,General classification,,,,2022
20.02,85,,Stage 3 - Villefranche-sur-Mer › Blausasc,112.6,,,2022
19.02,102,92,Stage 2 - Puget-Théniers › La Turbie,149.1,,,2022
18.02,76,78,Stage 1 - Saint-Raphaël  › La Seyne-sur-Mer,176.3,,,2022
10.02 » 13.02,,,Tour de la Provence (2.Pro),,,,2022
,10,,Youth classification,,,,2022
,7,,Mountains classification,,,,2022
,36,,General classification,,,3,2022
13.02,57,,Stage 3 - Manosque › Montagne de Lure,166.1,,,2022
12.02,63,24,Stage 2 - Arles › Manosque,180.6,,,2022
11.02,27,26,Stage 1 - Istres › Les Saintes-Maries-de-la-Mer,151.8,,,2022
10.02,89,89,Prologue - Berre-l'Étang › Berre-l'Étang,7.1,,,2022
30.01,128,,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3,,,2022
20.09 » 26.09,,,Le Tour de Bretagne Cycliste (2.2),,,,2021
,13,,Youth classification,,,,2021
,16,,Points classification,,,,2021
,29,,General classification,,,,2021
26.09,27,,Stage 7 - Guitté › Dinan,155.3,,,2021
25.09,15,32,Stage 6 - Quédillac › Fougères,166,,,2021
24.09,15,33,Stage 5 - Châteaubriant › Boisgervilly,217,,,2021
23.09,18,35,Stage 4 - Ploeren › Louisfert,167.6,,,2021
22.09,2,37,Stage 3 - Rosporden › Brandivy,170.5,2,3,2021
21.09,84,66,Stage 2 - Corlay › Rosporden,169.1,,,2021
20.09,44,47,Stage 1 - Le Cambout › Allineuc,159,,,2021
30.07,8,,National Championships France U23 - Road Race (NC),164.4,,3,2021
21.08,77,,National Championships France - ITT (NC),43.6,,,2020
01.09,25,,Grand Prix International de la ville de Nogent-sur-Oise (1.2),168,,,2019
24.08,29,,National Championships France U23 - ITT (NC),27.5,,,2019
23.08,24,,National Championships France U23 - Road Race (NC),178.5,,,2019
23.05 » 26.05,,,Ronde de l'Isard (2.2U),,,,2019
,29,,Youth classification,,,,2019
,74,,General classification,,,,2019
26.05,71,,Stage 4 - Bélesta › Saint-Girons,154.1,,,2019
25.05,57,77,Stage 3 - Mirepoix › Quérigut,141.3,,,2019
24.05,92,109,Stage 2 - Salies-du-Salat › Castillon-en-Couserans,136.7,,,2019
23.05,113,114,Stage 1 - Toulouse › Le Mas d'Azil ,145,,,2019
04.05,DNF,,L'Etoile d'Or (1.Ncup),180,,,2019
