date,result ranking,general classification,race name,distance,PCS point,UCI point
24.04,DNF,,Rutland-Melton CiCLE Classic (1.2),180,,
13.04 » 17.04,,,Tour du Loir et Cher (2.2),,,
,32,,Points classification,,,
,115,,General classification,,,
17.04,117,,Stage 5 - Blois › Blois,97.5,,
16.04,9,97,Stage 4 - La Motte-Beuvron › La Motte-Beuvron,205,,
15.04,114,111,Stage 3 - Cloyes-Les-Trois-Rivières › Vendôme,213,,
14.04,33,32,Stage 2 - Le Controis-en-Sologne › Vallières-les-Grandes,197.5,,
13.04,21,25,Stage 1 - Blois › Fontaines-en-Sologne,147,,
20.03,DNF,,Grand Prix Criquielion (1.2),186.9,,
06.03,90,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2),180,,
23.01,DNF,,Clàssica Comunitat Valenciana 1969 - Gran Premi València (1.2),175,,
17.10,DNF,,National Championships Great Britain - Road Race (NC),166,,
05.09 » 12.09,,,Tour of Britain (2.Pro),,,
,45,,Points classification,,,
,91,,General classification,,,
12.09,14,,Stage 8 - Stonehaven › Aberdeen,173,,
11.09,87,92,Stage 7 - Hawick › Edinburgh,194.8,,
10.09,88,92,Stage 6 - Carlisle  › Gateshead,198,,
09.09,29,99,Stage 5 - Alderley Park › Warrington,152.2,,
08.09,96,100,"Stage 4 - Aberaeron › Great Orme, Llandudno",210,,
07.09,16,101,Stage 3 (TTT) - Carmarthenshire (Llandeilo) › Carmarthenshire (National Botanic Garden of Wales),18.2,,
06.09,103,102,Stage 2 - Sherford › Exeter,183.9,,
05.09,98,98,Stage 1 - Penzance › Bodmin,180.8,,
29.08,1,,Grand Prix de la Somme Conseil Départemental 80 (1.2),179,15,40
30.07 » 02.08,,,Kreiz Breizh Elites (2.2),,,
01.08,DNF,,Stage 3 - Ploërdut › Carhaix,180.5,,
31.07,150,149,Stage 2 - Calanhel › Plouray,189.9,,
30.07,19,106,Stage 1 (TTT) - Ploumagoar › Ploumagoar,12.5,,
25.07,7,,Grand Prix de la ville de Pérenchies (1.2),163,,5
08.03,22,,Grand Prix de la Ville de Lillers Souvenir Bruno Comini (1.2),187,,
03.03,DNF,,Le Samyn (1.1),201.9,,
30.06,97,,National Championships Great Britain - Road Race (NC),190,,
22.05 » 26.05,,,Baltyk - Karkonosze Tour (2.2),,,
,87,,General classification,,,
26.05,86,,Stage 5 - Piechowice › Karpacz,106.8,,
25.05,114,99,Stage 4 (ITT) - Kowary › Przełęcz Okraj,11.6,,
24.05,90,84,Stage 3 - Kożuchów › Lubań,139.5,,
23.05,38,46,Stage 2 - Babimost › Zbąszynek,121.6,,
22.05,56,59,Stage 1 - Kołobrzeg › Trzcianka,173.8,,
28.04,13,,Rutland - Melton Cicle Classic (1.2),198.5,,
22.07 » 04.08,,,Tour of Qinghai Lake (2.HC),,,
26.07,DNF,,Stage 5 - Longyangxia › Bird Islet,235,,
25.07,118,123,Stage 4 - Guide › Longyangxia,100,,
24.07,113,122,Stage 3 - Duoba › Guide,133,,
23.07,47,105,Stage 2 - Xining › Xining,115,,
22.07,114,114,Stage 1 - Ledu › Xining,162,,
03.05 » 06.05,,,Tour de Yorkshire (2.1),,,
04.05,DNF,,Stage 2 - Barnsley › Ilkley,149,,
03.05,27,28,Stage 1 - Beverley › Doncaster,182,,
22.04,DNF,,Rutland - Melton Cicle Classic (1.2),178,,
14.04,50,,Commonwealth Games - Road Race (JR),169.8,,
25.06,DNF,,National Championships Great Britain - Road Race (NC),193.7,,
18.06,DNF,,Beaumont Trophy (1.2),188.4,,
23.04,21,,Rutland - Melton Cicle Classic (1.2),189,,
26.06,DNF,,National Championships Great Britain - Road Race (NC),207,,
28.06,DNF,,National Championships Great Britain - Road Race (NC),200.5,,
21.06,43,,Beaumont Trophy (1.2),187,,
26.04,DNF,,Rutland - Melton International CiCLE Classic (1.2),179,,
11.07,DNF,,GP van de stad Geel (1.2),163.9,,
23.06,DNF,,National Championships Great Britain - Road Race (NC),184.6,,
02.06,84,,Memorial Philippe Van Coningsloo (1.2),182.7,,
18.05,165,,Grand Prix Criquielion (1.2),181.4,,
