date,result ranking,general classification,race name,distance,PCS point,UCI point
24.04,113,,Liège-Bastogne-Liège (1.UWT),257.2,5,
20.04,DNF,,La Flèche Wallonne (1.UWT),202.1,,
13.04,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),205.1,,
21.03 » 27.03,,,Volta Ciclista a Catalunya (2.UWT),,,
26.03,DNF,,Stage 6 - Salou › Cambrils,168.6,,
25.03,126,130,Stage 5 - La Pobla de Segur › Vilanova i la Geltrú,206.3,,
24.03,120,131,Stage 4 - La Seu d'Urgell › Boí Taüll,166.7,,
23.03,126,131,Stage 3 - Perpignan › La Molina,161.1,,
22.03,130,145,Stage 2 - L'Escala › Perpignan,202.4,,
21.03,158,158,Stage 1 - Sant Feliu de Guíxols › Sant Feliu de Guíxols,171.2,,
27.02,66,,Drôme Classic (1.Pro),191.5,,
26.02,66,,Faun-Ardèche Classic (1.Pro),168.5,,
18.02 » 20.02,,,Tour des Alpes Maritimes et du Var (2.1),,,
,76,,General classification,,,
20.02,56,,Stage 3 - Villefranche-sur-Mer › Blausasc,112.6,,
19.02,77,101,Stage 2 - Puget-Théniers › La Turbie,149.1,,
18.02,111,111,Stage 1 - Saint-Raphaël  › La Seyne-sur-Mer,176.3,,
30.01,87,,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3,,
14.09 » 18.09,,,Skoda-Tour de Luxembourg (2.Pro),,,
14.09,DNS,,Stage 1 - Luxembourg-City › Luxembourg-City,140,,
12.09,114,,GP de Fourmies / La Voix du Nord (1.Pro),197.6,,
24.08 » 27.08,,,Tour Poitou - Charentes en Nouvelle Aquitaine (2.1),,,
25.08,DNS,,Stage 2 - Parthenay › Ruffec,191.6,,
24.08,104,104,Stage 1 - Pons › Parthenay,197.3,,
19.08 » 22.08,,,Tour of Norway (2.Pro),,,
,31,,General classification,,,3
22.08,68,,Stage 4 - Hinna Park › Stavanger,156.5,,
21.08,34,22,Stage 3 - Jørpeland › Jørpeland,159.9,,
20.08,30,25,Stage 2 - Sirdal (Tjørhomfjellet) › Sirdal (Fidjeland),185.3,,
19.08,24,24,Stage 1 - Egersund › Sokndal (Kroheia),150.8,,
05.08 » 08.08,,,Arctic Race of Norway (2.Pro),,,
,9,,Youth classification,,,
,19,,Mountains classification,,,
,21,,General classification,,6,5
08.08,34,,Stage 4 - Gratangen › Harstad,163.5,,
07.08,15,18,Stage 3 - Finnsnes › Målselv ,184.5,,
06.08,73,29,Stage 2 - Nordkjosbotn › Kilpisjärvi,177.6,,
05.08,30,30,Stage 1 - Tromsø › Tromsø,142.4,,
21.07 » 25.07,,,Tour Alsace (2.2),,,
,25,,Mountains classification,,,
,33,,Points classification,,,
,21,,General classification,,,
25.07,50,,Stage 5 - Mulhouse › Berrwiller,153.6,,
24.07,30,21,Stage 4 - Ribeauvillé  › Lac Blanc,161.3,,
23.07,14,8,Stage 3 - Vesoul › La Planche des Belles Filles,143.1,,
22.07,20,19,Stage 2 - Colmar › Altkirch,163.1,,
21.07,7,19,Prologue - Sausheim › Sausheim,4.3,,
20.06,28,,National Championships Norway - Road Race (NC),214.5,,
17.06,15,,National Championships Norway - ITT (NC),50.22,,
10.06 » 13.06,,,Oberösterreichrundfahrt (2.2),,,
,24,,Mountains classification,,,
,9,,Points classification,,,
,7,,General classification,,4,5
13.06,19,,Stage 3 - Traun › Hinterstoder (Höss),124.6,,
12.06,4,6,Stage 2 - Efferding › Oberneukirchen,142.9,,
11.06,16,19,Stage 1 - Felbermayr Wels › Maria Schmolln,163.9,,
10.06,89,89,Prologue - Linz › Linz,0.7,,
03.06 » 06.06,,,Tour of Malopolska (2.2),,,
,8,,General classification,,3,3
06.06,10,,Stage 3 - Jabłonka › Stary Sącz Przehyba,123,,
05.06,19,5,Stage 2 - Niepołomice › Nowy Targ ,142,,
04.06,7,7,Stage 1 - Wieliczka › Myślenice Góra Chełm,124,,
03.06,26,26,Prologue - Cracow  › Cracow ,1.4,,
