date,result ranking,general classification,race name,distance,PCS point,UCI point
08.12,14,,South East Asian Games - Road Race (JR),130.4,,
07.12,4,,South East Asian Games - TTT (JR),82.4,,
24.05 » 26.05,,,PRUride PH (2.2),,,
25.05,DNF,,Stage 2 - Olongapo › Mariveles,165.8,,
24.05,67,69,Stage 1 - Harbor Point  › Harbor Point ,130.24,,
23.08,20,,Summer Asian Games - Road Race (JR),145.5,1,3
11.02,5,,Asian Cycling Championships U23 - Road Race (CC),156,28,25
17.10 » 21.10,,,Tour de Selangor (2.2),,,
21.10,DNF,,Stage 5 - Shah Alam › Shah Alam,112.2,,
20.10,30,39,Stage 4 - Shah Alam › Kuala Kubu Bharu,84,,
19.10,42,44,Stage 3 - Shah Alam › Pandan Indah,110,,
18.10,65,60,Stage 2 - Shah Alam › Dengkil,138.2,,
17.10,50,50,Stage 1 - Petaling Jaya › Kuala Selangor,114,,
01.03,15,,Asian Cycling Championships U23 - Road Race (CC),115.2,6,
