date,result ranking,general classification,race name,distance,PCS point,UCI point
26.06,61,,National Championships Norway - Road Race (NC),189,,
01.05,DNF,,Skive-Løbet (1.2),177.7,,
30.04,DNF,,GP Viborg (1.2),198.1,,
29.04,DNF,,Himmerland Rundt (1.2),188.3,,
14.06,31,,Fyen Rundt - Tour of Funen (1.2),205.5,,
13.06,4,,GP Horsens (1.2),194.1,4,12
27.05 » 31.05,,,Tour des Fjords (2.1),,,
,71,,General classification,,,
31.05,76,,Stage 5 - Hinna Park › Stavanger,186,,
30.05,64,75,Stage 4 - Stavanger › Sandnes,177,,
29.05, 95 ,82,Stage 3 - Stord › Sauda,164.1,,
28.05,21,74,Stage 2 - Jondal › Haugesund,215,,
27.05,95,95,Stage 1 - Bergen › Norheimsund,174.3,,
20.05 » 24.05,,,Tour of Norway (2.HC),,,
,1,,Mountains classification,,,
,79,,General classification,,,
24.05,46,,Stage 5 - Flå › Hønefoss,175,,
23.05,100,104,Stage 4 - Rjukan › Geilo,167,,
22.05,93,93,Stage 3 - Skien › Rjukan,185,,
21.05,105,95,Stage 2 - Drammen › Langesund,199,,
20.05,63,67,Stage 1 - Årnes › Sarpsborg,182,,
25.04 » 01.05,,,Le Tour de Bretagne Cycliste trophée harmonie Mutuelle (2.2),,,
,13,,Mountains classification,,,
,20,,Points classification,,,
,29,,General classification,,,
01.05,48,,Stage 7 - Liffré › Liffré,146.3,,
30.04,36,6,Stage 6 - Perros-Guirec › Le Quillio,149,,
29.04,31,6,Stage 5 - Pontivy › Perros-Guirec,169.3,,
28.04,58,3,Stage 4 - Plogoff - Pointe du Raz › Pontivy,189.9,,
27.04,49,5,Stage 3 - Baud › Cleden-Cap Sizun,192.9,,
26.04,59,4,Stage 2 - Sainte-Reine-de-Bretagne › Melgrand,172.3,,
25.04,6,4,Stage 1 - Pontchâteau › Crossac,146.9,,
15.04 » 19.04,,,Tour du Loir et Cher E Provost (2.2),,,
18.04,DNS,,Stage 4 - Angé › Angé,171,,
17.04,153,153,Stage 3 - Freteval › Vendôme,209,,
16.04,163,154,Stage 2 - Huisseau/Cosson › Fougères/Bièvre,196,,
15.04,103,111,Stage 1 - Blois › Nouan-le-Fuzelier,175,,
23.03 » 29.03,,,Tour de Normandie (2.2),,,
28.03,DNF,,Stage 5 - Carentan › Martinvast,169.5,,
27.03,68,104,Stage 4 - L’Aigle › Bagnoles-de-l’Orne,167.5,,
26.03,132,114,Stage 3 - Elbeuf-sur-Seine › Argentan,162.5,,
25.03,108,89,Stage 2 - Duclair › Elbeuf-sur-Seine,166.5,,
24.03,13,98,Stage 1 - Colombelles › Forges-les-Eaux,207,,
23.03,110,110,Prologue - Saint-Lô › Saint-Lô,3.6,,
12.03 » 15.03,,,Istarsko proljece - Istrian Spring Trophy (2.2),,,
,61,,General classification,,,
15.03,20,,Stage 3 - Pazin › Umag,156,,
14.03,64,62,Stage 2 - Vrsar › Motovun,157,,
13.03,83,47,Stage 1 - Porec › Labin,158,,
12.03,53,53,Prologue - Umag › Umag,1.9,,
07.03,76,,Porec Trophy - Trofej Porec (1.2),143,,
04.03,19,,Trofej Umag - Umag Trophy (1.2),157.5,,
28.09,DNF,,Gooikse Pijl (1.2),197.9,,
