date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,22,,National Championships France - Road Race (NC) ,240,,,2022
14.06,63,,Mont Ventoux Dénivelé Challenge (1.1) ,154,,,2022
25.05 » 29.05,,,Alpes Isère Tour (2.2) ,,,,2022
29.05,DNF,,Stage 5 - Entre-deux-Guiers › Allevard-les-Bains ,133.1,,,2022
28.05,57,41,Stage 4 - Saint-Maurice-l'Exil › Beaurepaire ,171.4,,,2022
27.05,1,41,Stage 3 - Saint-Exupéry › Toussieu ,145.5,5,7,2022
26.05,48,44,Stage 2 - Les Abrets-en-Dauphiné › Saint-Quentin-Fallavier ,161.2,,,2022
25.05,20,25,Stage 1 - Charvieu-Chavagneux › Charvieu-Chavagneux ,118.1,,,2022
20.04,56,,La Flèche Wallonne (1.UWT) ,202.1,5,2,2022
10.04,67,,Amstel Gold Race (1.UWT) ,254.1,5,,2022
03.04,59,,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT) ,272.5,5,3,2022
30.03,41,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT) ,183.7,5,5,2022
25.03,41,,E3 Saxo Bank Classic (1.UWT) ,203.9,5,8,2022
19.03,DNF,,Classic Loire Atlantique (1.1) ,182.8,,,2022
06.03 » 13.03,,,Paris - Nice (2.UWT) ,,,,2022
,8,,Mountains classification ,,,,2022
,49,,General classification ,,5,10,2022
13.03,49,,Stage 8 - Nice › Nice ,115.6,,,2022
12.03,58,63,Stage 7 - Nice › Col de Turini ,155.2,,,2022
11.03,68,69,Stage 6 - Courthézon › Aubagne  172k,213.6,,,2022
10.03,73,79,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut ,188.8,,,2022
09.03,91,95,Stage 4 (ITT) - Domérat › Montluçon ,13.4,,,2022
08.03,20,100,Stage 3 - Vierzon › Dun-le-Palestel ,190.8,,,2022
07.03,93,128,Stage 2 - Auffargis › Orléans ,159.2,,,2022
06.03,124,125,Stage 1 - Mantes-la-Ville › Mantes-la-Ville ,159.8,,,2022
27.02,63,,Drôme Classic (1.Pro) ,191.5,,,2022
26.02,32,,Faun-Ardèche Classic (1.Pro) ,168.5,,3,2022
18.02 » 20.02,,,Tour des Alpes Maritimes et du Var (2.1) ,,,,2022
,66,,General classification ,,,,2022
20.02,78,,Stage 3 - Villefranche-sur-Mer › Blausasc ,112.6,,,2022
19.02,31,29,Stage 2 - Puget-Théniers › La Turbie ,149.1,,,2022
18.02,64,40,Stage 1 - Saint-Raphaël  › La Seyne-sur-Mer ,176.3,,,2022
02.02 » 06.02,,,Etoile de Bessèges - Tour du Gard (2.1) ,,,,2022
,42,,General classification ,,,,2022
06.02,105,,Stage 5 (ITT) - Alès › Alès l'Ermitage ,10.64,,,2022
05.02,47,41,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet ,146.71,,,2022
04.02,63,55,Stage 3 - Bessèges › Bessèges ,155.65,,,2022
03.02,41,74,Stage 2 - Saint-Christol-lèz-Alès › Rousson ,156.21,,,2022
02.02,87,87,Stage 1 - Bellegarde › Bellegarde ,160.86,,,2022
30.01,84,,Grand Prix Cycliste de Marseille La Marseillaise (1.1) ,174.3,,,2022
20.04,56,,La Flèche Wallonne (1.UWT),202.1,5,2,2022
10.04,67,,Amstel Gold Race (1.UWT),254.1,5,,2022
03.04,59,,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5,5,3,2022
30.03,41,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7,5,5,2022
25.03,41,,E3 Saxo Bank Classic (1.UWT),203.9,5,8,2022
19.03,DNF,,Classic Loire Atlantique (1.1),182.8,,,2022
06.03 » 13.03,,,Paris - Nice (2.UWT),,,,2022
,8,,Mountains classification,,,,2022
,49,,General classification,,5,10,2022
13.03,49,,Stage 8 - Nice › Nice,115.6,,,2022
12.03,58,63,Stage 7 - Nice › Col de Turini,155.2,,,2022
11.03,68,69,Stage 6 - Courthézon › Aubagne,213.6,,,2022
10.03,73,79,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut,188.8,,,2022
09.03,91,95,Stage 4 (ITT) - Domérat › Montluçon,13.4,,,2022
08.03,20,100,Stage 3 - Vierzon › Dun-le-Palestel,190.8,,,2022
07.03,93,128,Stage 2 - Auffargis › Orléans,159.2,,,2022
06.03,124,125,Stage 1 - Mantes-la-Ville › Mantes-la-Ville,159.8,,,2022
27.02,63,,Drôme Classic (1.Pro),191.5,,,2022
26.02,32,,Faun-Ardèche Classic (1.Pro),168.5,,3,2022
18.02 » 20.02,,,Tour des Alpes Maritimes et du Var (2.1),,,,2022
,66,,General classification,,,,2022
20.02,78,,Stage 3 - Villefranche-sur-Mer › Blausasc,112.6,,,2022
19.02,31,29,Stage 2 - Puget-Théniers › La Turbie,149.1,,,2022
18.02,64,40,Stage 1 - Saint-Raphaël  › La Seyne-sur-Mer,176.3,,,2022
02.02 » 06.02,,,Etoile de Bessèges - Tour du Gard (2.1),,,,2022
,42,,General classification,,,,2022
06.02,105,,Stage 5 (ITT) - Alès › Alès l'Ermitage,10.64,,,2022
05.02,47,41,Stage 4 - Saint-Hilaire-de-Brethmas › Le Mont Bouquet,146.71,,,2022
04.02,63,55,Stage 3 - Bessèges › Bessèges,155.65,,,2022
03.02,41,74,Stage 2 - Saint-Christol-lèz-Alès › Rousson,156.21,,,2022
02.02,87,87,Stage 1 - Bellegarde › Bellegarde,160.86,,,2022
30.01,84,,Grand Prix Cycliste de Marseille La Marseillaise (1.1),174.3,,,2022
