date,result ranking,general classification,race name,distance,PCS point,UCI point
26.08,DNF,,Ljubljana - Zagreb (1.2),183.3,,
12.08,64,,Puchar Uzdrowisk Karpackich (1.2),147.4,,
22.07,73,,Central European Tour Budapest GP (1.2),135.3,,
21.07,95,,Central European Tour Miskolc GP (1.2),157.8,,
29.06 » 12.07,,,Tour of Qinghai Lake (2.HC),,,
,19,,General classification,,10,
12.07,64,,Stage 13 - Lanzhou › Lanzhou,78,,
11.07,87,19,Stage 12 - Zhongwei  › Baiyin ,220,,
10.07,96,19,Stage 11 - Zhongwei › Zhongwei,107,,
09.07,84,19,Stage 10 - Wuwei  › Jingtai ,191,,
08.07,98,19,Stage 9 - Zhangye  › Zhangye ,117,,
07.07,101,19,Stage 8 - Qilian  › Zhangye ,201,,
05.07,85,19,Stage 7 - Qilian  › Qilian,104,,
04.07,34,19,Stage 6 - Xihaizhen › Mole,123,,
03.07,90,23,Stage 5 - Tianjun Xian › Xihaizhen,205,,
02.07,27,22,Stage 4 - Qinghai Lake › Chaqia,148,,
01.07,68,48,Stage 3 - Xining › Qinghai Lake,147,,
30.06,75,54,Stage 2 - Duoba Base › Huzhu,122,,
29.06,62,65,Stage 1 - Xining Circuit Race › Xining Circuit Race,96.8,,
14.06 » 17.06,,,Tour de Slovénie (2.1),,,
,42,,General classification,,,
17.06,59,42,Stage 4 (ITT) - Ljubljana › Ljubljana,17.8,,
16.06,43,43,Stage 3 - Ivančna Gorica › Škofja Loka,219,,
15.06,47,43,Stage 2 - Kočevje › Metlika,177.4,,
14.06,50,50,Stage 1 -  Celje › Novo Mesto,152,,
08.06,5,,National Championships Slovenia - ITT (NC),37.4,,
08.06,8,,National Championships Slovenia - ITT (NC),37.4,,
03.06,26,,Grand Prix Südkärnten (1.2),194,,
05.05 » 09.05,,,Five Rings of Moscow (2.2),,,
,14,,General classification,,,
09.05,71,,Stage 5 - Moscow › Moscow,129.6,,
08.05,61,14,Stage 4 - Moscow › Moscow,151.3,,
07.05,16,14,Stage 3 - Moscow › Moscow,163.2,,
06.05,78,18,Stage 2 - Moscow › Moscow,134.4,,
05.05,17,17,Stage 1 - Moscow › Moscow,149.6,,
02.05,33,,Memorial of Oleg Dyachenko (1.2),163.2,,
01.05,6,,Mayor Cup (1.2),142.8,1,8
22.04,46,,Banja Luka-Belgrade II (1.2),196,,
21.04,58,,Banja Luka - Belgrade I (1.2),180,,
15.03 » 18.03,,,Istarsko proljece - Istrian Spring Trophy (2.2),,,
,15,,General classification,,,
18.03,109,,Stage 3 - Pazin  › Umag,169,,
17.03,21,15,Stage 2 - Vrsar  › Motovun,157,,
16.03,17,16,Stage 1 - Porec  › Labin,159,,
15.03,42,42,Prologue - Umag › Umag,2,,
11.03,18,,Porec Trophy - Trofej Porec (1.2),146,,
04.03,38,,Trofeo Zssdi - Unione dei Circoli sportivi (1.2),143,,
03.09,60,,Tour of Vojvodina II (1.2),145,,
02.09,4,,Tour of Vojvodina I (1.2),158,4,
28.08,116,,Ljubljana - Zagreb (1.2),183,,
14.08,93,,Puchar Uzdrowisk Karpackich (1.2),165.3,,
13.08,73,,Memorial Henryka Lasaka (1.2),183.2,,
05.08,45,,Gp Folignano - Trofeo Avis (1.2),170.4,,
31.07,64,,Sparkassen Giro (1.1),180,,
24.07,60,,Central European Tour Budapest GP (1.2),121,,
23.07,85,,Central European Tour Miskolc GP (1.2),155,,
07.07 » 10.07,,,Czech Cycling Tour (2.2),,,
,98,,General classification,,,
10.07,73,,Stage 4 - Olomouc › Olomouc,176,,
09.07,117,,Stage 3 - Šternberk › Šumperk,198.8,,
08.07,152,,Stage 2 - Olomouc  › Prostejov,148.6,,
07.07,20,,Stage 1 (TTT) - Olomouc › Olomouc,24,,
02.07,10,,Gp Kranj (1.1),177.3,14,
25.06,6,,National Championships Slovenia - Road Race (NC),160,1,
16.06 » 19.06,,,Tour de Slovénie (2.1),,,
,32,,General classification,,,
19.06,45,,Stage 4 - Ptuj › Novo mesto,181,,
18.06,35,,Stage 3 - Tržič › Golte,170.6,,
17.06,67,,Stage 2 - Koper › Nova Gorica,189.6,,
16.06,46,,Prologue - Ljubljana › Ljubljana,6.8,,
12.05 » 15.05,,,Rhône-Alpes Isère Tour (2.2),,,
,44,,General classification,,,
