date,result ranking,general classification,race name,distance,PCS point,UCI point
03.04,DNF,,Ronde van Vlaanderen - Tour des Flandres ME (1.UWT),272.5,,
30.03,DNF,,Dwars door Vlaanderen - A travers la Flandre ME (1.UWT),183.7,,
27.03,27,,Gent-Wevelgem / Kattekoers-Ieper (1.Ncup),177,,
23.03,DNS,,Minerva Classic Brugge-De Panne (1.UWT),207.9,,
17.03,13,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,16,20
01.03,94,,Le Samyn (1.1),209,,
27.02,100,,Kuurne - Bruxelles - Kuurne (1.Pro),195.1,,
10.02 » 13.02,,,Tour of Antalya (2.1),,,
,39,,General classification,,,
13.02,63,,Stage 4 - Antalya › Antalya,156.5,,
12.02,44,41,Stage 3 - Aspendos › Termessos,110.6,,
11.02,77,62,Stage 2 - Kemer › Antalya,180.3,,
10.02,63,64,Stage 1 - Side › Antalya,142.4,,
05.02,8,,Grand Prix Alanya (1.2),147.2,,3
30.01,58,,Grand Prix Megasaray (1.2),126.6,,
17.10,38,,National Championships Denmark U23 - Road Race (NC),165.6,,
16.10,DNF,,National Championships Denmark U23 - ITT (NC),30.5,,
03.10,1,,Gylne Gutuer (1.2),168.5,15,40
02.10,15,,Lillehammer GP (1.2),133,,
24.09,80,,World Championships U23 - Road Race (WC),161.1,,
18.09,37,,Liège - Bastogne - Liège U23 (1.2U),171.6,,
11.09,DNF,,European Continental Championships U23 - Road Race (CC),133.6,,
02.09 » 04.09,,,Flanders Tomorrow Tour (2.2U),,,
,24,,Points classification,,,
,10,,General classification,,1,1
04.09,59,,Stage 3b - Handzame › Handzame,124.9,,
04.09,5,10,Stage 3a (ITT) - Koksijde › Koksijde,12.7,,
03.09,39,49,Stage 2 - Staden › Staden,153.6,,
02.09,72,72,Stage 1 - Poperinge › Poperinge,155.6,,
29.08,11,,Rent Liv Løbet Skive (1.2),188.3,,
13.08 » 22.08,,,Tour de l'Avenir (2.Ncup),,,
,14,,Youth classification,,,
,43,,General classification,,,
22.08,31,,Stage 9 - La Toussuire › Col du Petit Saint-Bernard,151.6,,
21.08,44,55,Stage 8 - La Tour-en-Maurienne › Saint Jean d’Arves,71.3,,
20.08,73,58,Stage 7 - Saint-Vulbas › Grand Colombier,97.9,,
19.08,65,49,Stage 6 - Champagnole › Septmoncel,111,,
18.08,85,50,Stage 5 - Tomblaine › Bar-sur-Aube,150.7,,
17.08,82,51,Stage 4 - Provins › Bar-le-Duc,183.9,,
16.08,96,53,Stage 3 - Château-Thierry › Donnemarie-Dontilly,153.4,,
15.08,6,21,Stage 2 (TTT) - Laon › Laon,26.8,,
14.08,99,35,Stage 1 - Charleville-Mézières › Soissons,161.2,,
13.08,47,47,Prologue - Charleville-Mézières › Charleville-Mézières,5,,
20.06,19,,National Championships Denmark - Road Race (NC),227.1,,
17.06,DNF,,National Championships Denmark - ITT (NC),47.8,,
09.06 » 13.06,,,Tour of Slovenia (2.Pro),,,
,7,,Youth classification,,,
,47,,General classification,,,
13.06,61,,Stage 5 - Ljubljana › Novo mesto,175.3,,
12.06,89,47,Stage 4 - Ajdovščina › Nova Gorica,164.1,,
11.06,34,34,Stage 3 - Brežice › Krško,165.8,,
10.06,41,38,Stage 2 - Žalec › Celje (Celjski Grad),147,,
09.06,65,65,Stage 1 - Ptuj › Rogaška Slatina,151.5,,
30.05,54,,Fyen Rundt - Tour of Funen (1.2),206.1,,
29.05,66,,Grand Prix Herning (1.2),195,,
03.10,14,,National Championships Denmark - ITT (NC),44,,
13.09,31,,National Championships Denmark U23 - Road Race (NC),157.5,,
12.09,7,,National Championships Denmark U23 - ITT (NC),30.52,,
23.08,12,,National Championships Denmark - Road Race (NC),198.9,,1
26.09,DNF,,World Championships MJ - Road Race (WC),148.1,,
23.09,12,,World Championships MJ - ITT (WC),27.6,4,
25.08,16,,Trofeo Emilio Paganessi (1.1),134,5,
24.08,91,,Trofeo Comune di Vertova - Memorial Pietro Merelli (1.1),81.2,,
29.06,3,,National Championships Denmark MJ - Road Race (NC),117.1,7,
27.06,3,,National Championships Denmark MJ - ITT (NC),25.5,6,
30.05 » 02.06,,,Tour du Pays de Vaud (2.Ncup),,,
,12,,Mountains classification,,,
,15,,Points classification,,,
,3,,General classification,,90,
02.06,5,,Stage 3 - Granges-près-Marnand  › Granges-près-Marnand ,110.9,4,
01.06,8,6,Stage 2a - Cugy › Bière,82.7,1,
01.06,5,3,Stage 2b (ITT) - Bière › Bière,14.6,4,
31.05,11,9,Stage 1 - Tolochenaz › Chamblon,128.8,,
30.05,21,21,Prologue - Échichens › Échichens,5.2,,
09.05 » 12.05,,,Course de la Paix Juniors (2.Ncup),,,
,13,,Mountains classification,,,
,14,,Points classification,,,
,17,,General classification,,14,
12.05,38,,Stage 4 - Terezín › Terezín,96.4,,
11.05,21,17,Stage 3 - Teplice › Altenberg,99.8,,
10.05,20,4,Stage 2b - Roudnice nad Labem › Roudnice nad Labem,80.4,,
10.05,4,4,Stage 2a (ITT) - Třebenice › Třebenice,11.2,7,
09.05,4,9,Stage 1 - Litoměřice › Litoměřice,100.7,7,
14.04,11,,Paris - Roubaix Juniors (1.Ncup),111,20,
07.04,1,,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors (1.1),136.3,75,
27.09,DNF,,World Championships MJ - Road Race (WC),131.8,,
25.09,21,,World Championships MJ - ITT (WC),27.7,,
29.07,3,,La Route des Géants (1.1),134,40,
28.07,3,,Johan Museeuw Classic - G.P. Stad Gistel (1.1),120,40,
06.07 » 09.07,,,Sint-Martinusprijs Kontich (2.1),,,
,2,,Youth classification,,,
,5,,Points classification,,,
,4,,General classification,,36,
09.07,72,,Stage 4 - Kontich › Kontich,129.6,,
08.07,60,3,Stage 3b - Kontich › Kontich,119.5,,
08.07,1,1,Stage 3a (ITT) - Kontich › Kontich,11.2,20,
07.07,3,4,Stage 2 - Antwerp › Kontich,123,7,
06.07,5,15,Stage 1 (ITT) - Waarloos › Waarloos,16.8,2,
30.06,5,,National Championships Denmark MJ - Road Race (NC),119,4,
24.05 » 27.05,,,Tour du Pays de Vaud (2.Ncup),,,
,1,,Youth classification,,,
,10,,Mountains classification,,,
,4,,Points classification,,,
,2,,General classification,,110,
27.05,19,,Stage 4 - Cossonay › Tartegnin,112.9,,
26.05,16,1,Stage 3a - Cully › Savigny,78.7,,
26.05,2,2,Stage 3b (ITT) - Savigny › Savigny,10.2,18,
25.05,1,1,Stage 2 - Missy › Bioley-Magnoux,120,30,
24.05,2,9,Stage 1 (TTT) - Lausanne › Lausanne,4.6,10,
08.04,OTL,,Paris - Roubaix Juniors (1.Ncup),111,,
01.04,5,,Ronde van Vlaanderen Juniores - Tour des Flandres Juniors (1.1),133.1,28,
25.03,54,,Gent-Wevelgem/Grote Prijs A. Noyelle-Ieper (1.Ncup),118,,
