date,result ranking,general classification,race name,distance,PCS point,UCI point,year
06.02,6,,National Championships Namibia - Road Race (NC),152,1,5,2022
07.02,7,,National championships Namibia  - Road Race (NC),150,,3,2021
23.02,8,,National Championships Namibia - Road Race (NC),158,,10,2020
19.03,DNF,,African Continental Championships - Road Race (CC),166.4,,,2019
04.03 » 08.03,,,Tour of Good Hope (2.2),,,,2019
,38,,General classification,,,,2019
08.03,38,,Stage 5 - Paarl › Paarl,66.7,,,2019
07.03,32,42,Stage 4 - Paarl › Paarl,126.7,,,2019
06.03,9,59,Stage 3 (TTT) - Paarl › Paarl,16.5,,,2019
05.03,66,59,Stage 2 - Paarl › Paarl,114,,,2019
04.03,12,12,Stage 1 - Paarl › Paarl,58.7,,,2019
03.02,3,,National Championships Namibia - Road Race (NC),131,7,20,2019
01.02,3,,National Championships Namibia - ITT (NC),44,2,10,2019
23.04 » 26.04,,,Tour de Limpopo (2.2),,,,2018
26.04,DNS,,Stage 4 - Tzaneen › Polokwane,96.9,,,2018
24.04,DNF,,Stage 2 - Tzaneen › Tzaneen,175,,,2018
23.04,64,64,Stage 1 - Polokwane › Tzaneen,96.4,,,2018
18.02,DNF,,African Continental Championships - Road Race (CC),156,,,2018
04.02,5,,National Championships Namibia - Road Race (NC),145,2,10,2018
02.02,7,,National Championships Namibia - ITT (NC),45,,,2018
05.02,11,,National Championships Namibia - Road Race (NC),147,,,2017
03.02,9,,National Championships Namibia - ITT (NC),36.6,,,2017
07.02,5,,National Championships Namibia - Road Race (NC),126,2,10,2016
05.02,7,,National Championships Namibia -  ITT (NC),32.4,,,2016
13.09,DNF,,Jeux Africains 2015 de Brazzaville - Road Race (JR),150,,,2015
01.02,6,,National Championships Namibia - Road Race (NC),135,1,8,2015
30.01,4,,National Championships Namibia - ITT (NC),40,,,2015
02.03,7,,National Championships Namibia - Road Race (NC),163,,,2014
28.02,DNF,,National Championships Namibia - ITT (NC),40,,,2014
03.03,7,,National Championships Namibia - Road Race (NC),132,,,2013
01.03,5,,National Championships Namibia - ITT (NC),40,,,2013
01.04,8,,National Championships Namibia - ITT (NC),40,,,2012
31.03,8,,National Championships Namibia - Road Race (NC),,,,2012
