date,result ranking,general classification,race name,distance,PCS point,UCI point
10.04,86,,Paris - Roubaix (1.UWT),257.5,5,
06.04,80,,Scheldeprijs (1.HC),207.8,,
03.04,79,,Ronde van Vlaanderen / Tour des Flandres ME (1.UWT),255,5,
27.03,79,,Gent - Wevelgem in Flanders Fields ME (1.UWT),242,5,
25.03,DNF,,E3 Harelbeke (1.UWT),206,,
19.03,119,,Milano-Sanremo (1.UWT),293,5,
09.03 » 15.03,,,Tirreno-Adriatico (2.UWT),,,
,110,,General classification,,5,
15.03,89,,Stage 7 (ITT) - San Benedetto del Tronto › San Benedetto del Tronto,10.05,,
14.03,72,114,Stage 6 - Castelraimondo › Cepagatti,210,,
12.03,87,127,Stage 4 - Montalto di Castro › Foligno,216,,
11.03,118,155,Stage 3 - Castelnuovo Val di Cecina › Montalto di Castro,176,,
10.03,150,157,Stage 2 - Camaiore › Pomarance,207,,
09.03,7,162,Stage 1 (TTT) - Lido di Camaiore › Lido di Camaiore,22.7,,
05.03,DNF,,Strade Bianche (1.HC),176,,
17.02 » 21.02,,,Volta ao Algarve em Bicicleta (2.1),,,
,28,,Points classification,,,
,98,,General classification,,,
21.02,92,,Stage 5 - Almodôvar › Alto do Malhão,169,,
20.02,142,107,Stage 4 - S. Brás de Alportel › Tavira,194,,
19.02,85,105,Stage 3 (ITT) - Sagres › Sagres,18,,
18.02,99,102,Stage 2 - Lagoa › Alto da Fóia,198.6,,
17.02,162,162,Stage 1 - Lagos › Albufeira,163.6,,
03.02 » 06.02,,,Dubai Tour (2.HC),,,
,86,,General classification,,,
06.02,88,,Stage 4 - Dubai › Burj Khalifa,137,,
05.02,88,88,Stage 3 - Dubai › Hatta Dam,172,,
04.02,92,102,Stage 2 - Dubai › Palm Jumeirah,183,,
03.02,110,110,Stage 1 - Dubai › Fujairah,173,,
28.01,104,,Trofeo Felanitx - Ses Salines - Campos - Porreres (1.1),174,,
18.10,DNF,,Japan Cup Cycle Road Race (1.HC),144.2,,
04.10,DNF,,Il Lombardia (1.UWT),245,,
02.10,DNF,,Giro del Piemonte (1.HC),185,,
01.10,DNF,,Milano-Torino (1.HC),186,,
30.09,DNF,,Tre Valli Varesine (1.HC),198.5,,
22.08 » 13.09,,,Vuelta a España (2.UWT),,,
,132,,General classification,,20,
13.09,95,,Stage 21 - Alcalá de Henares › Madrid,98.8,,
12.09,109,131,Stage 20 - San Lorenzo de El Escorial › Cercedilla,175.8,,
11.09,99,133,Stage 19 - Medina del Campo › Ávila,185.8,,
10.09,93,135,Stage 18 - Roa › Riaza,204,,
09.09,102,141,Stage 17 (ITT) - Burgos › Burgos,38.7,,
07.09,90,140,Stage 16 - Luarca › Ermita de Alba. Quiros,185,,
06.09,70,141,Stage 15 - Comillas › Sotres. Cabrales,175.8,,
05.09,93,147,Stage 14 - Vitoria › Alto Campoo. Fuente del Chivo,215,,
04.09,98,152,Stage 13 - Calatayud › Tarazona,178,,
03.09,122,152,Stage 12 - Escaldes-Engordany › Lleida,173,,
02.09,146,158,Stage 11 - Andorra la Vella › Cortals d'Encamp,138,,
31.08,176,159,Stage 10 - Valencia › Castellón  ,146.6,,
30.08,101,151,Stage 9 - Torrevieja › Cumbre del Sol. Benitachell,168.3,,
29.08,145,156,Stage 8 - Puebla de Don Fadrique › Murcia,182.5,,
28.08,103,158,Stage 7 - Jódar › La Alpujarra (Capileira),191.1,,
27.08,139,166,Stage 6 - Córdoba › Sierra de Cazorla,200.3,,
26.08,110,169,Stage 5 - Rota › Alcalá de Guadaíra,167.3,,
25.08,112,173,Stage 4 - Estepona › Vejer de la Frontera,209.6,,
24.08,178,173,Stage 3 - Mijas › Málaga,158.4,,
23.08,117,117,Stage 2 - Alhaurín de la Torre › Caminito del Rey,158.7,,
22.08,6,,Stage 1 (TTT) - Puerto Banús › Marbella,7.4,,
02.08 » 08.08,,,Tour de Pologne (2.UWT),,,
,95,,General classification,,5,
08.08,90,,Stage 7 (ITT) - Krakow › Krakow,25,,
07.08,74,94,Stage 6 - Bukovina Terma Hotel Spa › Bukowina Tatrza?ska,174,,
06.08,105,113,Stage 5 - Nowy Sacz  › Zakopane,223,,
05.08,120,119,Stage 4 - Jaworzno  › Nowy Sacz,220,,
04.08,119,112,Stage 3 - Zawiercie  › Katowice,166,,
