date,result ranking,general classification,race name,distance,PCS point,UCI point,year
17.03 » 23.03,,,Tour of Libya (2.2) ,,,,2007
,48,,General classification ,,,,2007
23.03,43,,Stage 7 - Zletin › Tripoli ,150,,,2007
22.03,38,,Stage 6 - Misurata › Zletin ,120,,,2007
21.03,55,,Stage 5 (ITT) - Misurata › Misurata ,22,,,2007
20.03,49,,Stage 4 - Bani Walid › Misurata ,130,,,2007
19.03,55,,Stage 3 - Gherian › Bani Walid ,170,,,2007
18.03,43,,Stage 2 - Tripoli › Gherian ,138,,,2007
17.03,30,,Stage 1 - Tripoli › Tarhona ,123,,,2007
30.10 » 06.11,,,Tour des Aéroports (2.2) ,,,,2006
,17,,Points classification ,,,,2006
,18,,General classification ,,,,2006
06.11,16,,Stage 8 - Sfax › Monastir ,140,,,2006
05.11,33,18,Stage 7 - Gabes › Sfax ,132,,,2006
04.11,16,18,Stage 6 - El Jorf › Gabes ,90,,,2006
03.11,15,,Stage 5 - Matmata › Houmet Essouk ,138,,,2006
02.11,2,34,Stage 4 - Douz › Matmata ,100,2,,2006
01.11,23,,Stage 3 - Tozeur › Kebeli ,113,,,2006
31.10,27,,Stage 2 - Gafsa › Tozeur ,96,,,2006
30.10,32,32,Stage 1a - Tunis › Bizerte ,60,,,2006
30.10,44,,Stage 1b - Birete › Tabarka ,136,,,2006
